station_name,betweenness_centrality,lines
Otemachi,0.4164143362902355,"['Chiyoda', 'Hanzomon', 'Marunouchi', 'Tozai']"
Kudanshita,0.3271825365393768,"['Hanzomon', 'Tozai']"
Iidabashi,0.3231149957979469,"['Namboku', 'Tozai', 'Yurakucho']"
Nagatacho,0.23723794563447861,"['Hanzomon', 'Namboku', 'Yurakucho']"
Yotsuya,0.22501237230873772,"['Marunouchi', 'Namboku']"
Nihombashi,0.2120112850586605,"['Ginza', 'Tozai']"
Kayabacho,0.2066213698095902,"['Hibiya', 'Tozai']"
Korakuen,0.1931041905335216,"['Marunouchi', 'Namboku']"
Shinjuku-sanchome,0.17568116902303846,"['Fukutoshin', 'Marunouchi']"
Mitsukoshimae,0.1725703091900274,"['Ginza', 'Hanzomon']"
Yotsuya-sanchome,0.15076899199818536,['Marunouchi']
Ichigaya,0.14937791833783176,"['Namboku', 'Yurakucho']"
Jimbocho,0.14812556748437755,['Hanzomon']
Takebashi,0.14812556748437755,['Tozai']
Hanzomon,0.14476514216492536,['Hanzomon']
Monzen-nakacho,0.14301191765980498,['Tozai']
Shinjuku-gyoemmae,0.14285671648027604,['Marunouchi']
Kasumigaseki,0.13600761878610787,"['Chiyoda', 'Hibiya', 'Marunouchi']"
Kiba,0.13099576479858172,['Tozai']
Shinjuku,0.13099576479858172,['Marunouchi']
Ikebukuro,0.1303646630791317,"['Fukutoshin', 'Marunouchi', 'Yurakucho']"
Toyocho,0.11878262582487935,['Tozai']
Nishi-shinjuku,0.11878262582487935,['Marunouchi']
Ginza,0.11786936156088125,"['Ginza', 'Hibiya', 'Marunouchi']"
Akasaka-mitsuke,0.11052876394647307,"['Ginza', 'Marunouchi']"
Nakano-sakaue,0.10784989658229095,['Marunouchi']
Kokkai-gijidomae,0.10739374439758563,"['Chiyoda', 'Marunouchi']"
Minami-sunamachi,0.10637250073869793,['Tozai']
Shin-ochanomizu,0.09976244412864131,['Chiyoda']
Kanda,0.09934072187593308,['Ginza']
Nishi-kasai,0.09376538954003744,['Tozai']
Todaimae,0.09376538954003744,['Namboku']
Kanamecho,0.09376538954003744,"['Fukutoshin', 'Yurakucho']"
Sakuradamon,0.09376538954003744,['Yurakucho']
Tameike-sanno,0.0895571925366076,"['Ginza', 'Namboku']"
Suehirocho,0.08821100652086565,['Ginza']
