Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,156,12,152,12
5.5,0,0,0,0,220,148,132,112
6.0,0,1,0,0,356,316,176,168
6.5,0,1,0,0,732,416,312,292
7.0,0,1,0,0,1440,832,384,272
7.5,0,2,0,0,2328,1176,704,500
8.0,0,2,0,0,3504,2400,796,656
8.5,0,1,0,0,3644,2536,1068,936
9.0,0,1,0,1,3240,2864,1288,904
9.5,0,0,0,0,2228,2788,1208,1120
10.0,0,1,0,0,1788,1532,1344,1032
10.5,0,1,0,0,1436,1488,1376,1060
11.0,0,0,0,0,1364,1048,1332,1116
11.5,0,0,0,0,1248,1060,1432,1220
12.0,0,0,0,0,1468,1124,1352,1216
12.5,0,0,0,0,1360,1348,1328,1616
13.0,0,0,0,0,1216,1316,1288,1424
13.5,0,0,0,0,1104,1232,1368,1424
14.0,0,0,0,0,1156,1008,1408,1224
14.5,0,0,0,0,1052,1212,1280,1304
15.0,0,0,0,0,1312,1000,1416,1256
15.5,0,0,0,0,1244,1200,1392,1336
16.0,0,0,0,0,1492,1320,1544,1136
16.5,1,0,0,0,1520,1348,1508,1448
17.0,1,0,1,0,2136,1452,1732,1420
17.5,1,0,0,0,1948,1956,1416,1388
18.0,2,0,0,0,2568,2404,1264,1136
18.5,1,0,0,0,2184,2504,1136,1232
19.0,1,0,0,0,1884,2264,1088,968
19.5,1,0,0,0,1476,1944,688,900
20.0,1,0,0,0,1228,1628,696,960
20.5,1,0,0,0,1000,1448,524,832
21.0,0,0,0,0,952,1488,600,828
21.5,0,0,0,0,740,1300,456,972
22.0,0,0,0,0,852,1236,632,904
22.5,0,0,0,0,624,1144,384,800
23.0,0,0,0,0,572,972,424,664
23.5,0,0,0,0,460,868,280,424
24.0,0,0,-,-,56,592,24,448
24.5,-,-,-,-,8,228,8,132
