Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,64,52,74,38
5.5,0,0,0,0,90,230,80,172
6.0,0,0,0,0,134,428,80,234
6.5,0,1,0,0,200,800,138,464
7.0,0,1,0,0,332,1412,134,588
7.5,0,2,0,0,566,2556,202,1012
8.0,0,2,0,0,804,3732,308,1576
8.5,0,1,0,0,1006,5288,374,2328
9.0,0,1,0,0,1124,5516,500,2818
9.5,0,0,0,0,1120,6156,736,3968
10.0,0,1,0,0,932,4126,764,3972
10.5,0,1,0,0,1048,4660,924,4774
11.0,0,1,0,0,1098,3302,1242,4100
11.5,0,0,0,0,1322,3106,1576,3970
12.0,0,0,0,0,1638,2744,1892,3488
12.5,0,0,0,0,1820,3204,2208,3988
13.0,0,0,0,0,1888,2618,2396,3720
13.5,0,0,0,0,1950,2790,2584,3898
14.0,0,0,0,0,2094,2464,2832,3576
14.5,0,0,0,0,2334,2594,3116,3700
15.0,0,0,0,0,2652,2248,3556,3268
15.5,0,0,0,0,2662,2590,3568,3340
16.0,0,0,0,0,3240,2232,3940,3108
16.5,1,1,0,0,3428,2360,3972,3192
17.0,1,0,1,0,3970,2206,4136,2316
17.5,1,0,0,0,3694,2408,3760,2280
18.0,2,0,0,0,4290,2586,3556,1640
18.5,1,0,0,0,4274,2290,3316,1516
19.0,1,0,0,0,4548,1662,3224,1068
19.5,1,0,0,0,4062,1296,3238,828
20.0,1,0,0,0,4026,862,3266,588
20.5,0,0,0,0,3316,692,2722,416
21.0,0,0,0,0,2978,506,2372,436
21.5,0,0,0,0,2352,450,2124,300
22.0,0,0,0,0,2038,410,1832,320
22.5,0,0,0,0,1420,306,1216,240
23.0,0,0,0,0,1422,304,1116,224
23.5,0,0,0,0,950,274,742,180
24.0,0,0,-,-,308,188,272,132
24.5,-,-,-,-,62,34,0,20
