Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,49,35,68,17
5.5,0,0,0,0,49,296,56,154
6.0,0,0,0,0,94,391,60,212
6.5,0,0,0,0,142,772,62,352
7.0,0,1,0,0,244,1233,94,516
7.5,0,2,0,0,366,2232,141,882
8.0,0,1,0,0,589,3684,218,1448
8.5,0,1,0,0,535,6279,226,2342
9.0,0,1,0,0,550,5829,292,3098
9.5,0,0,0,0,551,6814,346,4474
10.0,0,0,0,0,686,3826,464,3418
10.5,0,1,0,0,791,4563,627,4556
11.0,0,0,0,0,944,2926,968,3919
11.5,0,0,0,0,1156,2943,1275,4039
12.0,0,0,0,0,1638,2515,1788,3322
12.5,0,0,0,0,1781,3161,2025,3821
13.0,0,0,0,0,1808,2492,2188,3412
13.5,0,0,0,0,1791,2630,2240,3674
14.0,0,0,0,0,2065,2126,2552,3039
14.5,0,0,0,0,2102,2411,2668,3276
15.0,0,0,0,0,2461,1907,3106,2827
15.5,0,0,0,0,2417,2199,3126,2954
16.0,0,0,0,0,2970,1836,3364,2528
16.5,1,0,0,0,2995,2097,3300,2600
17.0,1,0,1,0,3855,1851,3520,2072
17.5,1,0,0,0,3825,2228,3069,2077
18.0,2,0,0,0,4457,2247,3150,1537
18.5,2,0,0,0,4232,2187,2821,1308
19.0,1,1,0,0,4574,1443,3028,878
19.5,1,0,0,0,3779,1006,2492,565
20.0,1,0,0,0,3600,625,2596,405
20.5,1,0,0,0,2986,425,2090,284
21.0,1,0,0,0,2756,344,1904,285
21.5,0,0,0,0,2276,294,2196,250
22.0,0,0,0,0,2144,258,1996,221
22.5,0,0,0,0,1591,223,1179,158
23.0,0,0,0,0,1397,186,942,133
23.5,0,0,0,0,951,157,646,122
24.0,0,0,-,0,278,96,156,102
24.5,-,-,-,-,18,31,2,8
