Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,228,88,296,64
5.5,0,0,0,0,164,416,272,184
6.0,0,0,0,0,236,488,232,204
6.5,0,0,0,0,308,1016,232,372
7.0,0,1,0,0,520,1592,348,508
7.5,0,2,0,0,676,2796,312,860
8.0,0,1,0,0,920,4340,408,1164
8.5,0,1,0,0,860,6496,432,1552
9.0,0,1,0,0,868,5600,508,1640
9.5,0,0,0,0,800,6724,616,2832
10.0,0,0,0,0,808,3808,700,3092
10.5,0,1,0,0,932,4012,908,3048
11.0,0,0,0,0,1204,2460,1012,2672
11.5,0,0,0,0,1364,2320,1400,2472
12.0,0,0,0,0,1760,2056,1656,2184
12.5,0,0,0,0,1564,2492,1744,2584
13.0,0,0,0,0,1588,2068,1752,2352
13.5,0,0,0,0,1612,2160,1928,2720
14.0,0,0,0,0,1944,1828,2100,2560
14.5,0,0,0,0,1816,1972,2132,2496
15.0,0,0,0,0,2168,1628,2488,2164
15.5,0,0,0,0,2160,2004,2488,1944
16.0,0,0,0,0,2668,1616,2752,1836
16.5,1,1,0,0,2760,1584,2596,1856
17.0,1,0,1,0,3524,1504,2728,1504
17.5,1,0,0,0,3948,1816,2472,1616
18.0,2,0,0,0,5292,1672,2512,1192
18.5,1,0,0,0,4364,1800,1768,1076
19.0,1,1,0,1,4328,1252,1696,800
19.5,1,1,0,0,3432,1076,1416,720
20.0,1,0,0,0,3136,968,1480,648
20.5,0,0,0,0,2528,660,1268,496
21.0,0,0,0,0,2272,596,1368,464
21.5,0,0,0,0,2032,568,1088,508
22.0,0,0,0,0,2116,512,960,412
22.5,0,0,0,0,1836,392,1000,340
23.0,0,0,0,0,1852,312,1024,224
23.5,0,0,0,0,1536,272,856,232
24.0,0,0,-,0,508,200,240,188
24.5,-,-,-,-,80,76,4,4
