Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,204,126,600,88
5.5,0,0,0,0,124,418,360,340
6.0,0,0,0,0,166,646,264,384
6.5,0,0,0,0,252,1076,312,780
7.0,0,1,0,0,412,1752,472,1044
7.5,0,1,0,0,622,3212,576,1608
8.0,0,1,0,0,1022,5274,888,1276
8.5,0,1,0,0,866,6174,1136,1688
9.0,0,1,0,0,976,6602,1344,1904
9.5,0,0,0,0,856,6280,1380,3168
10.0,0,0,0,0,938,3402,1648,2368
10.5,0,0,0,0,898,3396,1604,3996
11.0,0,0,0,0,952,2416,1744,3192
11.5,0,0,0,0,882,2528,1584,3788
12.0,0,0,0,0,1276,1842,1752,2408
12.5,0,0,0,0,1266,2364,1908,2772
13.0,0,0,0,0,1204,1850,2080,2280
13.5,0,0,0,0,1124,1824,1936,2692
14.0,0,0,0,0,1308,1326,2208,1944
14.5,0,0,0,0,1344,1524,2176,2368
15.0,0,0,0,0,1644,1184,2360,2128
15.5,0,0,0,0,1652,1434,2444,2232
16.0,0,0,0,0,2768,1346,4648,2160
16.5,0,1,0,0,2356,1462,3112,2912
17.0,0,1,0,0,3314,1396,3136,2136
17.5,1,0,0,0,4886,1832,2428,2648
18.0,1,1,0,0,5282,1660,2700,1992
18.5,2,1,0,0,4130,2060,2104,1856
19.0,1,1,0,1,4056,1436,2092,1348
19.5,1,1,0,0,3286,1094,1744,1208
20.0,1,1,0,0,2958,838,1888,1216
20.5,1,0,0,0,2532,730,1788,1104
21.0,0,0,0,0,2598,650,1744,1128
21.5,0,0,0,0,2354,608,1624,1104
22.0,0,0,0,0,2736,486,3096,1048
22.5,0,0,0,0,2132,434,1904,876
23.0,0,0,0,0,2280,290,1748,664
23.5,0,0,0,0,1950,260,1184,504
24.0,0,0,0,0,536,180,324,336
24.5,0,-,-,-,62,50,0,4
