Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,24,72,40,44
5.5,0,0,0,0,24,218,32,80
6.0,0,0,0,0,42,398,52,164
6.5,0,0,0,0,40,782,64,344
7.0,0,1,0,0,92,1378,72,544
7.5,0,1,0,0,120,2000,184,440
8.0,0,1,0,0,208,3408,248,612
8.5,0,1,0,0,194,5416,256,664
9.0,0,1,0,0,212,4484,336,568
9.5,1,0,0,0,246,2486,424,472
10.0,0,0,0,0,354,868,512,328
10.5,0,0,0,0,328,748,364,536
11.0,0,0,0,0,434,496,348,432
11.5,0,0,0,0,488,482,416,472
12.0,0,0,0,0,662,482,328,428
12.5,0,0,0,0,420,838,332,480
13.0,0,0,0,0,516,612,288,472
13.5,0,0,0,0,416,622,352,488
14.0,0,0,0,0,468,496,400,356
14.5,0,0,0,0,506,472,552,416
15.0,0,0,0,0,698,374,496,288
15.5,0,0,0,0,722,456,500,344
16.0,0,0,0,0,1092,400,724,296
16.5,0,1,0,0,1218,338,664,308
17.0,1,1,0,0,1796,238,968,264
17.5,1,1,0,0,2882,260,512,264
18.0,1,1,0,0,3090,222,448,224
18.5,1,1,0,0,2544,202,384,232
19.0,1,1,0,1,2130,136,324,148
19.5,1,1,0,0,1436,112,200,132
20.0,1,1,0,0,1182,100,184,144
20.5,0,0,0,0,870,108,212,160
21.0,0,0,0,0,708,110,256,168
21.5,0,0,0,0,546,112,312,216
22.0,0,0,0,0,552,102,192,240
22.5,0,0,0,0,362,102,192,204
23.0,0,0,0,0,340,70,176,136
23.5,0,0,0,0,258,54,88,124
24.0,0,0,0,0,66,38,16,76
24.5,0,-,-,-,4,4,0,0
