Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,12,49,128,80
5.5,0,0,0,0,8,162,88,180
6.0,0,0,0,0,12,258,92,288
6.5,0,0,0,0,16,609,88,560
7.0,0,0,0,0,32,1391,148,952
7.5,0,1,0,0,37,2306,168,1280
8.0,0,1,0,0,73,3898,340,1208
8.5,0,1,0,0,102,5684,480,1064
9.0,0,0,0,0,142,7783,496,1112
9.5,1,0,0,0,173,2384,384,984
10.0,0,0,0,0,222,758,400,804
10.5,0,0,0,0,305,591,384,704
11.0,0,0,0,0,364,358,360,584
11.5,0,0,0,0,497,390,372,804
12.0,0,0,0,0,768,504,440,720
12.5,0,0,0,0,502,967,468,840
13.0,0,0,0,0,395,723,592,736
13.5,0,0,0,0,354,500,480,812
14.0,0,0,0,0,459,355,536,568
14.5,0,0,0,0,479,414,572,648
15.0,0,0,0,0,595,317,652,648
15.5,0,0,0,0,614,351,792,940
16.0,0,0,0,0,890,265,1024,804
16.5,0,1,0,0,990,243,924,896
17.0,0,1,0,0,2145,191,1408,896
17.5,1,1,0,0,2456,180,996,704
18.0,1,1,0,0,2993,166,1072,312
18.5,1,1,0,0,3093,124,816,252
19.0,1,1,0,1,2424,78,928,176
19.5,1,1,0,0,1850,47,1284,112
20.0,0,1,0,0,1646,41,2016,184
20.5,0,1,0,0,1352,35,576,132
21.0,0,0,0,0,1178,36,632,144
21.5,0,0,0,0,990,25,552,124
22.0,0,0,0,0,886,28,444,100
22.5,0,0,0,0,698,23,368,96
23.0,0,0,0,0,661,15,332,76
23.5,0,0,0,0,577,12,264,60
24.0,0,0,0,0,158,10,120,56
24.5,0,-,-,-,8,5,8,40
