Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,109,170,208,254
5.5,0,0,0,0,202,337,262,374
6.0,0,0,0,0,318,558,278,484
6.5,0,0,0,0,579,1075,438,622
7.0,0,0,0,0,1010,1638,704,904
7.5,1,1,0,0,1352,2659,660,1300
8.0,1,1,0,0,2256,4058,788,1744
8.5,1,1,0,0,2424,3828,872,1776
9.0,1,0,0,0,2187,3042,1188,1972
9.5,1,0,0,0,1544,2123,1284,2904
10.0,0,0,0,0,950,1463,1276,2732
10.5,0,0,0,0,877,1508,1392,3636
11.0,0,0,0,0,811,1409,1352,3402
11.5,0,0,0,0,803,1407,1564,3484
12.0,0,0,0,0,1072,1581,1580,3076
12.5,0,0,0,0,1136,1718,1740,3440
13.0,0,0,0,0,1053,1314,1788,2752
13.5,0,0,0,0,971,1187,1990,2904
14.0,0,0,0,0,993,1091,2160,2656
14.5,0,0,0,0,1088,1160,2364,2890
15.0,0,0,0,0,1208,1164,2756,2656
15.5,0,0,0,0,1359,1304,2628,2872
16.0,0,0,0,0,1596,1341,3412,2816
16.5,0,1,0,0,1842,1533,3228,2872
17.0,0,1,0,0,2103,1946,3374,2840
17.5,1,1,0,0,2713,2305,2880,2330
18.0,1,1,0,0,3167,2391,2996,1998
18.5,1,1,0,1,2774,2303,2948,1818
19.0,1,1,0,1,2570,1690,2526,1220
19.5,1,1,0,0,2096,1295,2180,1062
20.0,0,1,0,0,2008,1058,2460,1036
20.5,0,1,0,0,1826,868,2928,998
21.0,0,1,0,0,2304,757,2884,1176
21.5,0,1,0,0,1584,623,2102,1066
22.0,0,0,0,0,1550,621,1858,880
22.5,0,0,0,0,1320,537,1656,760
23.0,0,0,0,0,1164,477,1406,652
23.5,0,0,0,0,956,423,1216,484
24.0,0,0,0,0,291,142,340,194
24.5,0,-,-,-,2,3,0,8
