Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,20,90,44,56
5.5,0,0,0,0,16,276,40,200
6.0,0,0,0,0,36,398,64,304
6.5,0,0,0,0,76,860,60,472
7.0,1,0,0,0,200,1634,96,600
7.5,1,0,0,0,292,2558,120,792
8.0,1,1,1,0,448,3992,184,968
8.5,1,0,0,0,502,5018,168,1152
9.0,1,0,0,0,476,3400,300,1144
9.5,1,0,0,0,442,2150,384,1400
10.0,1,0,0,0,376,1056,304,1200
10.5,0,0,1,0,414,1088,424,1560
11.0,0,0,1,0,402,798,424,1496
11.5,0,0,0,0,446,776,528,1392
12.0,0,0,0,0,598,776,536,1120
12.5,1,0,0,0,600,1016,560,1188
13.0,0,0,0,0,536,736,652,1016
13.5,0,0,0,0,508,660,692,1196
14.0,0,0,0,0,622,538,804,896
14.5,0,0,0,0,574,584,900,880
15.0,0,0,0,0,686,554,912,912
15.5,0,0,0,0,692,594,992,960
16.0,0,0,0,0,976,594,1232,916
16.5,0,1,0,0,962,604,1184,1040
17.0,0,1,0,0,1660,620,1232,960
17.5,1,1,0,0,2492,788,1088,840
18.0,1,1,0,0,2728,752,1088,624
18.5,1,1,0,0,2236,710,864,560
19.0,1,1,0,1,1960,494,940,400
19.5,0,1,0,1,1618,336,816,288
20.0,0,1,0,0,1436,258,784,228
20.5,0,1,0,0,1232,194,1176,248
21.0,0,1,0,0,1242,158,936,244
21.5,0,1,0,0,1002,166,760,200
22.0,0,0,0,0,954,104,680,160
22.5,0,1,0,0,608,86,556,112
23.0,0,0,0,0,378,50,296,68
23.5,0,1,0,0,248,30,252,52
24.0,0,0,0,0,96,10,56,24
24.5,-,-,-,-,0,4,0,0
