Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,84,139,264,272
5.5,1,0,0,0,106,324,352,468
6.0,1,0,0,0,130,475,304,624
6.5,1,0,1,0,251,1106,512,1176
7.0,1,0,0,0,532,1873,760,1888
7.5,1,0,0,0,800,3237,1008,2608
8.0,2,0,1,0,942,4968,1192,3416
8.5,1,0,1,0,799,5979,1160,4140
9.0,1,0,0,0,713,2995,1264,3928
9.5,1,0,0,0,646,2375,1232,3944
10.0,1,0,1,0,595,1383,1440,3152
10.5,1,0,1,0,586,1173,1616,3084
11.0,0,0,1,0,602,816,1912,3036
11.5,0,0,1,0,683,787,1928,2968
12.0,1,0,1,0,924,956,2228,3016
12.5,1,0,1,0,859,1192,2728,3596
13.0,0,0,0,0,786,987,2920,2904
13.5,0,0,0,0,676,779,2464,3096
14.0,0,0,0,0,765,668,2528,2688
14.5,0,0,0,0,843,721,2900,2504
15.0,0,0,0,0,993,639,2984,2208
15.5,0,0,0,0,1009,705,3064,2328
16.0,0,1,0,0,1436,656,3656,2232
16.5,0,1,0,0,1623,727,4260,2648
17.0,0,1,0,1,2517,790,4528,2376
17.5,0,1,0,0,3024,944,4728,1972
18.0,0,1,0,1,3018,905,4060,1544
18.5,1,2,0,1,2424,806,3656,1424
19.0,0,2,0,1,2240,597,3020,1044
19.5,0,2,0,1,1670,471,2400,928
20.0,0,1,0,0,1486,349,2308,1060
20.5,0,1,0,0,1320,327,2432,1488
21.0,0,1,0,1,1195,300,2168,2024
21.5,0,1,0,0,1033,308,2172,2072
22.0,0,1,0,1,921,250,1976,1940
22.5,0,1,0,1,715,222,1320,1352
23.0,0,1,0,1,623,181,1240,1000
23.5,0,1,0,1,427,154,1016,748
24.0,0,0,0,1,203,106,344,464
24.5,-,-,-,-,0,4,0,0
