Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,70,66,268,88
5.5,1,0,0,0,78,164,232,128
6.0,1,0,0,0,122,276,176,232
6.5,1,0,1,0,228,614,236,320
7.0,2,0,0,0,364,1086,296,552
7.5,2,0,1,0,684,2194,468,784
8.0,2,0,1,0,876,3380,568,948
8.5,2,0,1,0,838,4626,680,1408
9.0,2,0,0,0,822,2054,788,1324
9.5,1,0,1,0,612,1870,876,1636
10.0,1,0,1,0,550,910,920,1368
10.5,1,0,1,0,496,846,832,1616
11.0,0,0,1,0,540,634,1076,1528
11.5,0,0,1,0,570,658,1056,1684
12.0,1,0,1,0,750,670,1216,1504
12.5,1,0,1,0,724,860,1216,1736
13.0,0,0,1,0,698,790,1264,1360
13.5,0,0,1,0,586,718,1216,1704
14.0,0,0,0,0,668,590,1192,1480
14.5,0,0,0,0,698,656,1496,1464
15.0,0,0,0,0,816,582,1360,1216
15.5,0,0,0,0,812,608,1536,1368
16.0,0,1,0,0,1188,630,1648,1296
16.5,0,1,0,0,1246,726,1832,1656
17.0,0,1,0,1,2160,764,2096,1452
17.5,0,1,0,0,2696,1110,1848,1448
18.0,0,2,0,1,2610,1154,1860,1296
18.5,0,2,0,1,1872,1214,1648,1220
19.0,0,2,0,1,1622,914,1420,896
19.5,0,2,0,1,1244,816,1056,720
20.0,0,1,0,0,1120,580,1104,800
20.5,0,1,0,0,938,538,1000,816
21.0,0,1,0,1,910,414,1012,832
21.5,0,1,0,0,804,412,928,808
22.0,0,1,0,1,748,334,972,728
22.5,0,1,0,1,636,288,784,424
23.0,0,1,0,1,768,218,888,320
23.5,0,1,0,1,632,174,828,296
24.0,0,1,0,1,340,182,320,304
24.5,-,-,-,-,0,6,0,0
