Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,220,84,104,76
5.5,1,0,0,0,236,180,136,144
6.0,1,0,0,0,500,344,232,172
6.5,1,0,1,0,804,564,344,232
7.0,2,0,0,0,1412,1140,512,428
7.5,2,0,1,0,2348,1920,640,560
8.0,2,0,1,0,3032,2712,920,792
8.5,2,0,1,0,2632,3116,884,728
9.0,2,0,0,0,2112,2260,992,704
9.5,1,0,1,0,1380,2128,1080,944
10.0,1,0,1,0,1148,1480,1028,840
10.5,1,0,1,0,1076,1160,1152,1120
11.0,0,0,1,0,1156,948,1280,932
11.5,0,0,1,0,1092,940,1264,1056
12.0,1,0,1,0,1368,972,1416,1056
12.5,1,0,1,0,1300,1432,1376,1132
13.0,0,0,1,0,1164,1044,1208,1020
13.5,0,0,0,0,932,968,1128,1176
14.0,0,0,0,0,1104,784,1208,1064
14.5,0,0,0,0,1092,872,1200,984
15.0,0,0,0,0,1148,752,1220,984
15.5,0,1,0,0,1128,792,1384,992
16.0,0,1,0,0,1576,940,1504,984
16.5,0,1,0,0,1688,1148,1396,1152
17.0,0,1,0,1,2388,1136,1456,1060
17.5,0,1,0,0,2448,1764,1304,1072
18.0,0,2,0,1,2316,1776,1176,1024
18.5,0,2,0,1,1756,1912,792,912
19.0,0,2,0,1,1448,1564,744,792
19.5,0,2,0,1,1096,1572,568,792
20.0,0,1,0,1,976,1308,448,784
20.5,0,1,0,0,864,1096,384,712
21.0,0,1,0,1,816,1108,488,840
21.5,0,1,0,0,688,1048,456,860
22.0,0,1,0,1,596,888,336,848
22.5,0,1,0,1,436,764,268,620
23.0,0,1,0,1,344,648,252,488
23.5,0,1,0,0,264,576,184,456
24.0,0,0,0,0,120,484,104,344
24.5,-,-,-,-,8,56,8,4
