Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,212,76,108,48
5.5,1,0,0,0,284,164,164,100
6.0,1,0,0,0,568,248,228,116
6.5,1,0,1,0,1044,680,364,248
7.0,1,0,0,0,1956,1152,468,616
7.5,2,0,1,0,3144,2512,788,1040
8.0,2,0,1,0,3988,3252,988,1408
8.5,2,0,1,0,3012,2292,1044,952
9.0,1,0,0,0,2544,1396,1232,840
9.5,1,0,1,0,1668,1284,1344,1036
10.0,1,0,1,0,1432,1636,1472,968
10.5,1,0,1,0,1408,856,1480,920
11.0,0,0,1,0,1320,744,1260,912
11.5,0,0,1,0,1092,800,1380,1092
12.0,1,0,1,0,1532,1024,1600,1020
12.5,1,0,1,0,1936,1224,1888,1280
13.0,0,0,1,0,1296,992,1528,1064
13.5,0,0,0,0,976,860,1392,1204
14.0,0,0,0,0,1036,848,1264,1104
14.5,0,0,0,0,1132,852,1372,1168
15.0,0,0,0,0,1216,844,1512,1136
15.5,0,0,0,0,1056,796,1432,1088
16.0,0,1,0,0,1460,940,1560,1048
16.5,0,1,0,1,1872,1172,1568,1360
17.0,0,1,0,1,2228,1384,1776,1316
17.5,0,1,0,1,2020,2088,1432,1416
18.0,0,2,0,1,2000,2132,1312,1156
18.5,0,2,0,1,1432,2248,1072,1000
19.0,0,2,0,1,1116,1976,696,904
19.5,0,2,0,1,776,1720,592,800
20.0,0,1,0,1,680,1484,464,912
20.5,0,1,0,0,556,1340,388,1016
21.0,0,1,0,1,588,1280,388,960
21.5,0,1,0,0,508,1192,384,904
22.0,0,1,0,0,432,1092,336,928
22.5,0,1,0,1,280,1016,240,736
23.0,0,1,0,1,212,796,200,548
23.5,0,1,0,0,196,644,152,528
24.0,0,0,0,0,72,556,72,372
24.5,-,-,-,-,16,132,8,16
