Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,152,50,216,92
5.5,1,0,0,0,460,212,384,376
6.0,1,0,0,0,558,224,488,316
6.5,1,0,1,0,1044,454,752,364
7.0,2,0,0,0,1846,698,1096,528
7.5,2,0,1,0,2594,1176,1284,600
8.0,2,0,1,0,3468,1550,1636,904
8.5,2,0,1,0,2614,1402,1520,924
9.0,1,0,0,0,2110,698,1560,912
9.5,1,0,1,0,1134,658,1400,1012
10.0,1,0,1,0,892,488,1632,912
10.5,1,0,1,0,662,390,1400,944
11.0,0,0,1,0,592,384,1328,792
11.5,0,0,1,0,602,432,1340,888
12.0,1,0,1,0,828,498,1660,968
12.5,1,0,1,0,796,642,1392,1120
13.0,0,1,0,0,622,506,1408,1056
13.5,0,0,1,0,498,466,1188,1144
14.0,0,0,0,0,504,400,1264,1064
14.5,0,0,0,0,476,468,1264,1164
15.0,0,0,0,0,580,522,1152,1048
15.5,0,1,0,1,518,560,1408,1248
16.0,0,1,0,1,700,648,1512,1244
16.5,0,1,0,1,758,996,1808,1568
17.0,0,2,0,1,1068,1026,1700,1748
17.5,0,2,0,1,1274,1506,1648,1920
18.0,0,2,0,1,1208,1738,1536,1688
18.5,0,2,0,1,866,1826,1368,1552
19.0,0,3,0,1,722,1514,1120,1320
19.5,0,2,0,1,604,1342,816,1160
20.0,0,2,0,1,534,1112,840,1104
20.5,0,1,0,0,490,1080,928,1280
21.0,0,1,0,1,476,888,1224,1704
21.5,0,1,0,0,404,800,912,1680
22.0,0,1,0,1,370,748,912,1600
22.5,0,1,0,1,304,712,672,1308
23.0,0,1,0,1,282,590,608,936
23.5,0,1,0,1,222,554,560,852
24.0,0,1,0,1,110,450,192,404
24.5,-,0,-,-,6,56,0,20
