Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,560,70,556,176
5.5,1,0,0,0,778,284,752,488
6.0,1,0,1,0,1262,396,984,536
6.5,1,0,1,0,2138,642,1384,600
7.0,2,0,0,0,3252,1158,2124,716
7.5,2,0,1,0,5072,2066,2824,1220
8.0,3,0,1,0,5928,2314,3148,1440
8.5,2,0,1,0,4318,1632,3048,1328
9.0,2,0,1,0,3302,964,3476,1200
9.5,1,0,1,0,1948,794,3040,1236
10.0,1,0,1,0,1612,608,3184,1048
10.5,1,0,1,0,1246,608,3192,1248
11.0,0,0,1,0,1104,592,3056,1256
11.5,1,0,1,0,1120,674,2796,1416
12.0,1,0,1,0,1354,708,2808,1584
12.5,1,0,1,0,1176,888,2744,1944
13.0,0,1,1,0,976,884,2704,1864
13.5,0,0,1,0,842,906,2472,1956
14.0,0,0,1,0,788,712,2256,2000
14.5,0,0,0,0,776,858,2112,2232
15.0,0,0,0,0,818,930,2080,2080
15.5,0,0,0,0,808,988,2160,2680
16.0,0,0,0,0,1062,1338,2384,2684
16.5,0,1,0,0,1194,1662,2424,3432
17.0,0,2,0,0,1716,1830,2516,3600
17.5,0,2,0,0,2406,2850,2416,3820
18.0,1,2,0,1,1758,3140,2068,3504
18.5,0,2,0,1,1354,3306,1620,3696
19.0,0,2,0,1,1160,2726,1280,3120
19.5,0,2,0,1,834,2608,1128,2312
20.0,0,1,0,1,726,2166,1216,2148
20.5,0,1,0,0,558,1984,1736,2520
21.0,0,1,0,0,468,1754,2400,2312
21.5,0,1,0,0,400,1712,2876,2640
22.0,0,0,0,0,400,1436,1988,2464
22.5,0,1,0,1,268,1502,1536,1972
23.0,0,1,0,1,224,1116,1344,1660
23.5,0,1,0,0,186,1138,744,1504
24.0,0,0,0,1,86,924,220,1104
24.5,-,0,-,-,12,206,8,568
