Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,219,82,180,74
5.5,1,0,0,0,396,120,208,110
6.0,1,0,0,0,600,253,249,164
6.5,1,0,1,0,1186,494,376,249
7.0,2,0,0,0,1874,833,564,380
7.5,2,0,1,0,3056,1274,700,467
8.0,2,0,1,0,3473,1751,912,776
8.5,2,0,1,0,2592,1438,812,962
9.0,2,0,0,0,1928,1092,972,982
9.5,1,0,1,0,1144,908,912,964
10.0,1,0,1,0,968,922,1110,955
10.5,0,0,1,0,868,859,1053,1061
11.0,0,0,1,0,843,783,1065,1018
11.5,0,0,1,0,903,728,1157,1094
12.0,1,0,1,0,1116,791,1260,1022
12.5,1,0,1,0,990,927,1233,1192
13.0,0,0,1,0,895,839,1206,1147
13.5,0,0,1,0,838,792,1150,1206
14.0,0,0,0,0,847,691,1232,1185
14.5,0,0,0,0,876,772,1161,1356
15.0,0,0,0,0,959,815,1288,1464
15.5,0,0,0,0,952,872,1218,1900
16.0,0,0,0,0,1094,1021,1332,2129
16.5,0,1,0,0,1260,1417,1330,2668
17.0,0,2,0,0,1690,1468,1314,3389
17.5,0,1,0,0,1766,2254,1246,3967
18.0,1,1,0,0,1821,2412,1406,4258
18.5,0,1,0,1,1677,2449,1041,4742
19.0,0,2,0,1,1484,2043,985,3504
19.5,0,2,0,1,1279,1778,1070,1771
20.0,0,1,0,0,989,1326,3130,711
20.5,0,1,0,0,829,1317,5110,538
21.0,0,1,0,0,768,1085,5994,502
21.5,0,0,0,0,667,1089,5546,502
22.0,0,0,0,0,656,886,4008,514
22.5,0,0,0,0,497,733,1884,542
23.0,0,0,0,0,453,586,1306,356
23.5,0,0,0,0,420,628,844,346
24.0,0,0,0,0,207,372,272,200
24.5,-,0,-,0,51,164,82,156
