Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,430,50,504,148
5.5,0,0,0,0,767,121,616,316
6.0,1,0,0,0,1248,258,966,412
6.5,1,0,1,0,1889,455,1382,540
7.0,1,0,0,0,3199,738,1796,762
7.5,2,0,1,0,4487,1207,2284,1488
8.0,2,0,1,0,4153,1777,2564,1376
8.5,1,0,1,0,3214,1412,2796,1378
9.0,1,0,0,0,2176,684,2702,1156
9.5,1,0,0,0,1401,756,2604,1174
10.0,0,0,1,0,1177,516,2752,918
10.5,0,0,1,0,917,526,2508,1024
11.0,0,0,1,0,911,495,2624,1036
11.5,0,0,1,0,952,596,2300,1272
12.0,1,0,1,0,1066,643,2464,1290
12.5,1,0,1,0,941,763,2132,1678
13.0,0,0,1,0,911,746,2212,1590
13.5,0,0,1,0,762,707,1952,1648
14.0,0,0,0,0,709,602,1878,1530
14.5,0,0,0,0,708,712,1784,1724
15.0,0,0,0,0,811,784,1688,1830
15.5,0,0,0,0,797,873,1888,2132
16.0,0,0,0,0,928,1046,2092,2228
16.5,0,0,0,0,1006,1477,2272,2576
17.0,0,0,0,0,1234,1573,2326,2686
17.5,0,1,0,0,1377,2345,2028,2716
18.0,0,1,0,0,1267,2643,1864,2732
18.5,0,1,0,0,1040,2788,1656,2648
19.0,0,1,0,0,869,2641,1320,2244
19.5,0,0,0,0,631,2294,1084,2084
20.0,0,0,0,0,559,1978,928,2244
20.5,0,0,0,0,473,1933,1022,2338
21.0,0,0,0,0,425,1602,1632,2188
21.5,0,0,0,0,340,1406,1376,2422
22.0,0,0,0,0,292,1369,1084,2448
22.5,0,0,0,0,240,1218,724,1728
23.0,0,0,0,0,193,1028,728,1792
23.5,0,0,0,0,128,907,488,1120
24.0,0,0,0,0,60,857,160,1480
24.5,-,-,-,-,16,541,34,788
