Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,-,0,-,658,12,788,40
5.5,0,-,0,-,858,100,580,216
6.0,0,-,0,-,1628,178,1044,224
6.5,0,-,0,-,2846,252,1384,312
7.0,1,-,1,-,3856,332,1644,516
7.5,1,-,0,-,3912,1072,2416,504
8.0,1,-,0,-,3828,864,2196,544
8.5,1,-,0,-,1632,382,1680,472
9.0,1,-,0,-,1906,374,2768,808
9.5,1,-,0,-,874,260,1640,492
10.0,0,-,0,-,904,214,2512,496
10.5,0,-,0,-,756,264,1768,588
11.0,0,-,0,-,646,226,1800,544
11.5,0,-,0,-,756,292,1964,616
12.0,0,-,0,-,702,322,1608,688
12.5,0,-,0,-,662,428,1584,992
13.0,0,-,0,-,516,450,1356,832
13.5,0,-,0,-,468,428,1436,1072
14.0,0,-,0,-,386,386,1216,1012
14.5,0,-,0,-,396,424,1328,1136
15.0,0,-,0,-,442,488,1248,1056
15.5,0,-,0,-,470,650,1304,1568
16.0,0,-,0,-,504,662,1420,1324
16.5,0,-,0,-,488,970,1384,1552
17.0,0,-,0,-,760,978,1592,1712
17.5,0,-,0,-,768,1460,1656,1568
18.0,0,-,0,-,702,2476,1392,2040
18.5,0,-,0,-,528,2320,1200,2056
19.0,0,-,0,-,378,2088,904,1528
19.5,0,-,0,-,328,1806,492,1440
20.0,0,-,0,-,264,2056,408,1496
20.5,0,-,0,-,188,1478,368,2440
21.0,0,-,0,-,180,1416,384,2592
21.5,0,-,0,-,124,1408,296,2720
22.0,0,-,0,-,118,1060,320,2384
22.5,0,-,0,-,76,908,200,1840
23.0,0,-,0,-,62,1116,392,1784
23.5,0,-,0,-,28,1130,104,1088
24.0,0,-,0,-,14,752,28,848
24.5,-,-,-,-,4,92,4,780
