Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,412,30,388,104
5.5,0,0,0,0,638,90,516,296
6.0,0,0,0,0,1152,168,860,252
6.5,1,0,0,0,1874,260,1136,312
7.0,1,0,0,0,2976,396,1528,424
7.5,1,0,0,0,4142,640,1800,520
8.0,1,0,0,0,4120,814,2496,724
8.5,1,0,0,0,2802,490,2320,588
9.0,1,0,0,0,2122,336,2656,728
9.5,1,0,0,0,1330,368,2392,712
10.0,0,0,1,0,1196,252,2624,520
10.5,0,0,0,0,830,284,2376,728
11.0,0,0,0,0,814,298,2256,688
11.5,0,0,0,0,800,330,2032,848
12.0,0,0,0,0,918,396,2132,808
12.5,0,0,0,0,682,496,1904,1164
13.0,0,0,0,0,614,522,1808,1272
13.5,0,0,0,0,502,472,1616,1100
14.0,0,0,0,0,492,496,1616,1296
14.5,0,0,0,0,434,550,1424,1176
15.0,0,0,0,0,460,610,1448,1544
15.5,0,0,0,0,432,760,1328,1408
16.0,0,0,0,0,534,854,1384,1704
16.5,0,0,0,0,550,1216,1224,2080
17.0,0,1,0,0,758,1194,1408,1848
17.5,0,1,0,0,738,2094,1144,2068
18.0,0,1,0,0,696,2560,1032,2424
18.5,0,1,0,0,582,2644,800,1848
19.0,0,1,0,0,496,2528,832,2472
19.5,0,1,0,0,442,2074,648,2028
20.0,0,1,0,0,524,1990,480,2024
20.5,0,1,0,0,354,1660,488,1892
21.0,0,0,0,0,264,1498,464,2024
21.5,0,0,0,0,210,1512,336,2216
22.0,0,0,0,0,190,1248,312,1784
22.5,0,0,0,0,126,1092,236,1760
23.0,0,0,0,0,102,946,172,1440
23.5,0,0,0,0,70,940,152,1560
24.0,0,0,0,0,28,842,60,1408
24.5,-,-,-,-,0,16,0,8
