Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,272,68,352,208
5.5,0,0,0,0,570,214,584,400
6.0,0,0,0,0,948,252,840,356
6.5,1,0,0,0,1772,408,1252,532
7.0,1,0,0,0,2876,760,1720,680
7.5,1,0,0,0,4616,1120,2416,928
8.0,2,0,0,0,4920,1566,2820,1296
8.5,1,0,0,0,3314,1250,2912,1156
9.0,1,0,1,0,2784,608,3432,912
9.5,1,0,0,0,1736,588,3236,892
10.0,1,0,1,0,1520,426,3320,800
10.5,0,0,0,0,1146,434,3104,896
11.0,0,0,0,0,1072,394,3136,900
11.5,0,0,0,0,1026,460,2944,1160
12.0,0,0,0,0,1216,530,2860,1352
12.5,0,0,0,0,1030,702,2696,1664
13.0,0,0,0,0,862,704,2540,1448
13.5,0,0,0,0,732,672,2200,1576
14.0,0,0,0,0,748,596,2264,1612
14.5,0,0,0,0,704,684,1996,1752
15.0,0,0,0,0,772,740,2032,1872
15.5,0,0,0,0,730,930,1896,2024
16.0,0,0,0,0,928,932,2176,2072
16.5,0,0,0,0,982,1300,1984,2592
17.0,0,0,0,0,1432,1464,2192,2328
17.5,0,1,0,0,1352,2030,1808,2896
18.0,0,1,0,0,1244,2564,1656,2512
18.5,0,1,0,0,934,2678,1232,2544
19.0,0,1,0,0,760,2722,1032,2416
19.5,0,1,0,0,580,2206,912,2680
20.0,0,1,0,1,486,2232,736,2440
20.5,0,1,0,0,298,1906,580,2288
21.0,0,0,0,0,314,1738,704,2724
21.5,0,0,0,0,262,1738,416,2408
22.0,0,1,0,0,220,1456,408,2584
22.5,0,1,0,0,158,1298,312,2264
23.0,0,0,0,0,128,1244,248,1880
23.5,0,0,0,0,112,1086,236,1872
24.0,0,0,0,0,38,918,64,1416
24.5,-,-,-,-,0,4,0,0
