Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,268,64,336,128
5.5,0,0,0,0,366,172,396,320
6.0,0,0,0,0,748,190,728,332
6.5,0,0,0,0,1210,310,904,304
7.0,1,0,0,0,2012,536,1296,424
7.5,1,0,0,0,3170,924,1760,700
8.0,2,0,0,0,3856,1200,2216,736
8.5,1,0,0,0,2746,1476,2380,1192
9.0,1,0,0,0,2260,870,2576,744
9.5,1,0,0,0,1416,778,2344,896
10.0,1,0,1,0,1224,446,2548,828
10.5,0,0,0,0,988,470,2532,1144
11.0,0,0,0,0,922,408,2248,888
11.5,0,0,0,0,838,460,2060,1176
12.0,0,0,0,0,1050,498,2292,1296
12.5,0,0,0,0,896,672,1896,1352
13.0,0,0,0,0,808,580,2244,1264
13.5,0,0,0,0,642,582,1688,1392
14.0,0,0,0,0,664,540,1704,1328
14.5,0,0,0,0,614,584,1728,1496
15.0,0,0,0,0,652,598,1648,1432
15.5,0,0,0,0,622,716,1820,1464
16.0,0,0,0,0,832,736,1844,1528
16.5,0,0,0,0,830,882,1784,1788
17.0,0,1,0,0,1174,1212,1864,1840
17.5,0,1,0,0,1160,1690,1440,1680
18.0,0,1,0,0,1232,1858,1436,1924
18.5,0,1,0,0,1048,1876,1248,1912
19.0,0,0,0,0,854,1840,992,1748
19.5,0,1,0,0,660,1720,776,1712
20.0,0,1,0,0,554,1414,680,1592
20.5,0,1,0,0,450,1368,632,1868
21.0,0,0,0,1,490,1238,720,1672
21.5,0,0,0,0,302,1202,432,1832
22.0,0,1,0,0,244,1158,400,1964
22.5,0,1,0,0,194,1124,384,1620
23.0,0,0,0,0,170,770,356,1600
23.5,0,1,0,0,148,954,240,1488
24.0,0,1,0,0,62,550,120,888
24.5,-,-,-,-,0,0,0,0
