Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,481,122,462,143
5.5,0,0,0,0,710,294,518,355
6.0,0,0,0,0,1229,453,735,385
6.5,0,0,0,0,2511,766,1029,576
7.0,1,0,0,0,3885,1261,1253,819
7.5,1,0,0,0,5703,1931,1682,1075
8.0,2,0,0,0,7060,2638,2121,1456
8.5,1,0,0,0,5108,2514,2158,1901
9.0,1,0,0,0,3726,1946,2440,2026
9.5,1,0,0,0,2414,1672,2224,2610
10.0,1,0,1,0,2096,1567,2278,2693
10.5,1,0,0,0,1516,1589,2382,2882
11.0,0,0,0,0,1345,1371,2380,2827
11.5,0,0,0,0,1342,1525,2200,2995
12.0,0,0,0,0,1770,1679,2583,2825
12.5,0,0,0,0,1769,1945,2568,3374
13.0,0,0,0,0,1563,1628,2535,3087
13.5,0,0,0,0,1336,1500,2361,3191
14.0,0,0,0,0,1440,1451,2446,2684
14.5,0,0,0,0,1366,1673,2467,2984
15.0,0,0,0,0,1435,1700,2573,2894
15.5,0,0,0,0,1481,1897,2588,3020
16.0,0,0,0,0,1671,2250,2890,3130
16.5,0,0,0,0,1734,2848,2934,3640
17.0,0,1,0,0,1999,3488,2881,3482
17.5,0,1,0,0,2180,4890,2740,3503
18.0,0,1,0,1,2330,5327,2700,3074
18.5,0,1,0,0,2222,5432,2518,2811
19.0,0,1,0,0,2094,4205,2427,2233
19.5,0,1,0,0,1841,3736,2196,2110
20.0,0,1,0,0,1686,2820,2281,1802
20.5,0,1,0,1,1542,2514,2038,1854
21.0,0,0,0,0,1596,2042,2136,1832
21.5,0,1,0,1,1348,1916,1961,1521
22.0,0,1,0,0,1221,1545,1834,1519
22.5,0,1,0,0,1016,1383,1569,1280
23.0,0,1,0,0,925,1007,1358,903
23.5,0,1,0,0,751,934,1112,820
24.0,0,1,0,0,197,671,313,622
24.5,-,-,-,-,0,64,0,57
