Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,128,56,88,72
5.5,0,0,0,0,204,124,104,136
6.0,0,0,0,0,404,172,208,116
6.5,0,0,0,0,760,356,248,204
7.0,1,0,0,0,1368,672,440,244
7.5,0,0,0,0,1984,956,528,240
8.0,1,0,0,0,2236,2020,696,576
8.5,1,0,0,0,1900,2444,752,744
9.0,1,0,0,0,1624,944,912,568
9.5,1,0,0,0,1144,972,968,520
10.0,1,0,0,0,1008,924,888,536
10.5,0,0,0,0,880,872,976,552
11.0,0,0,0,0,788,556,952,392
11.5,0,0,0,0,876,504,932,548
12.0,0,0,0,0,1120,616,1016,560
12.5,0,0,0,0,948,960,1000,808
13.0,0,0,0,0,740,680,904,740
13.5,0,0,0,0,640,668,776,792
14.0,0,0,0,0,732,504,920,548
14.5,0,0,0,0,756,696,896,656
15.0,0,0,0,0,876,552,704,552
15.5,0,0,0,0,700,596,864,620
16.0,0,0,0,0,1012,644,920,716
16.5,0,0,0,0,1136,876,896,804
17.0,0,0,0,0,1560,860,1012,840
17.5,0,1,0,0,1312,1132,712,880
18.0,0,1,0,0,1680,1272,656,908
18.5,0,1,0,0,1068,1320,512,932
19.0,0,0,0,0,924,1276,448,896
19.5,0,1,0,0,600,1152,396,772
20.0,0,1,0,0,516,1064,368,672
20.5,0,0,0,0,420,996,312,696
21.0,0,0,0,0,436,888,496,732
21.5,0,0,0,0,324,928,228,688
22.0,0,1,0,0,200,664,228,656
22.5,0,1,0,0,116,600,160,608
23.0,0,1,0,0,108,428,168,488
23.5,0,0,0,0,68,452,104,536
24.0,0,0,0,0,28,444,52,376
24.5,-,-,-,-,0,4,0,8
