Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,94,20,160,52
5.5,0,0,0,0,90,146,144,232
6.0,0,0,0,0,170,140,200,208
6.5,0,0,0,0,284,374,232,216
7.0,1,0,0,0,480,570,352,356
7.5,0,0,0,0,712,1010,428,456
8.0,1,0,0,0,850,2144,512,1088
8.5,1,0,0,0,836,3490,660,1656
9.0,1,0,0,0,650,1704,840,1196
9.5,0,0,0,0,512,1812,768,1360
10.0,1,0,0,0,506,1528,784,1096
10.5,0,0,0,0,488,1180,936,1112
11.0,0,0,0,0,554,582,1008,916
11.5,0,0,0,0,664,646,1076,984
12.0,0,0,0,0,884,844,1556,1296
12.5,0,0,0,0,926,1228,1392,1256
13.0,0,0,0,0,664,884,1324,1040
13.5,0,0,0,0,564,654,1152,1048
14.0,0,0,0,0,660,542,1104,896
14.5,0,0,0,0,818,638,968,976
15.0,0,0,0,0,840,488,1220,1004
15.5,0,0,0,0,896,512,1108,948
16.0,0,0,0,0,1266,466,1392,940
16.5,0,0,0,0,1514,590,1440,1016
17.0,0,0,0,0,1660,456,1536,724
17.5,0,1,0,0,1408,680,1020,896
18.0,0,1,0,0,1612,634,948,820
18.5,0,1,0,0,1450,774,996,1000
19.0,0,1,0,0,1246,578,944,656
19.5,0,1,0,0,812,548,600,640
20.0,0,1,0,0,736,490,632,632
20.5,0,0,0,0,666,430,736,640
21.0,0,0,0,0,674,386,620,680
21.5,0,0,0,0,586,384,588,668
22.0,0,1,0,0,470,262,624,688
22.5,0,1,0,0,302,266,408,536
23.0,0,0,0,0,234,224,376,540
23.5,0,0,0,0,168,224,344,472
24.0,0,0,0,0,44,192,96,304
24.5,-,-,-,-,0,0,0,0
