Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,172,46,396,96
5.5,0,0,0,0,140,268,272,316
6.0,0,0,0,0,240,262,368,352
6.5,0,0,0,0,342,632,368,400
7.0,0,0,0,0,540,1288,484,672
7.5,0,0,0,0,664,2258,684,1000
8.0,0,0,0,0,950,3486,1040,1152
8.5,1,0,0,0,924,4872,1012,1128
9.0,1,0,0,0,1004,2350,1296,1456
9.5,0,0,0,0,906,2106,1532,1396
10.0,1,0,0,0,900,1086,1652,1072
10.5,0,0,0,0,846,1004,1800,1200
11.0,0,0,0,0,842,738,1760,1208
11.5,0,0,0,0,802,648,1712,1432
12.0,0,0,0,0,966,762,1752,1272
12.5,0,0,0,0,938,1086,1620,1560
13.0,0,0,0,0,832,786,1572,1212
13.5,0,0,0,0,772,674,1496,1408
14.0,0,0,0,0,786,598,1576,1136
14.5,0,0,0,0,758,678,1408,1376
15.0,0,0,0,0,884,688,1652,1280
15.5,0,0,0,0,916,696,1504,1584
16.0,0,0,0,0,1182,696,1728,1496
16.5,0,0,0,0,1428,830,1532,1624
17.0,0,0,0,0,1846,624,1992,1448
17.5,0,1,0,0,2564,1104,1560,1928
18.0,0,1,0,0,2950,934,1512,1408
18.5,0,1,0,0,2122,1084,1504,1440
19.0,0,0,0,0,2034,924,1348,1296
19.5,0,1,0,0,1666,860,1016,1288
20.0,0,1,0,0,1322,742,1176,1356
20.5,0,0,0,1,1074,706,1048,1112
21.0,0,0,0,0,1042,562,1136,1192
21.5,0,0,0,1,850,672,1000,1444
22.0,0,1,0,0,644,422,1064,1272
22.5,0,1,0,0,488,448,796,1012
23.0,0,0,0,0,522,394,896,920
23.5,0,0,0,0,424,330,792,724
24.0,0,0,0,0,112,270,216,672
24.5,-,-,-,-,0,0,0,4
