Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,219,103,384,90
5.5,0,0,0,0,264,296,346,214
6.0,0,0,0,0,312,430,273,202
6.5,0,0,0,0,555,755,296,362
7.0,0,0,0,0,1016,1598,338,456
7.5,0,0,0,0,1776,3127,456,768
8.0,1,0,0,0,3241,5807,602,1064
8.5,1,0,0,0,3023,5769,636,1561
9.0,1,0,0,0,2408,4714,824,2168
9.5,0,0,0,0,1369,3550,804,2546
10.0,1,0,0,0,1202,2443,1050,2502
10.5,1,0,0,0,1174,2654,1219,3238
11.0,0,0,0,0,1292,2291,1490,2860
11.5,0,0,0,0,1377,2176,1584,2983
12.0,0,0,0,0,1655,2102,1800,2644
12.5,0,0,0,0,1781,2306,1914,2976
13.0,0,0,0,0,1712,1983,2000,2715
13.5,0,0,0,0,1707,2060,2099,2766
14.0,0,0,0,0,1823,1805,2280,2584
14.5,0,0,0,0,1859,1944,2424,2779
15.0,0,0,0,0,2059,1837,2566,2526
15.5,0,0,0,0,2016,2085,2588,2686
16.0,0,0,0,0,2415,2024,2965,2666
16.5,0,0,0,0,2659,2466,2862,2820
17.0,0,1,0,0,3192,2640,2957,2468
17.5,1,1,0,0,3580,3442,2692,2858
18.0,1,1,0,0,4242,3731,2752,2303
18.5,0,1,0,0,4099,3926,2576,2146
19.0,0,1,0,0,3863,3114,2504,1795
19.5,0,1,0,0,3430,2400,2438,1540
20.0,0,1,0,0,3234,1626,2608,1140
20.5,0,1,0,1,2664,1393,2208,1066
21.0,0,0,0,1,2510,1171,1975,966
21.5,0,1,0,1,2131,943,1752,858
22.0,0,1,0,0,1756,685,1804,832
22.5,0,1,0,0,1550,624,1477,618
23.0,0,0,0,0,1526,450,1540,534
23.5,0,0,0,0,1327,378,1353,381
24.0,0,0,0,0,312,257,330,300
24.5,-,-,-,-,2,38,0,38
