Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,64,80,56,64
5.5,0,0,0,0,56,132,52,104
6.0,0,0,0,0,120,228,56,116
6.5,0,0,0,0,180,520,88,160
7.0,0,0,0,0,320,832,144,280
7.5,0,0,0,0,568,1668,208,488
8.0,0,1,0,0,700,2748,264,736
8.5,0,0,0,0,696,5420,304,908
9.0,0,0,0,0,720,4952,368,824
9.5,0,0,0,0,620,5816,416,1340
10.0,0,0,0,0,620,2180,472,872
10.5,0,0,0,0,708,2188,528,928
11.0,0,0,0,0,796,1088,680,668
11.5,0,0,0,0,824,1104,700,912
12.0,0,0,0,0,1020,1076,800,880
12.5,0,0,0,0,1072,1584,732,1056
13.0,0,0,0,0,992,960,888,800
13.5,0,0,0,0,912,1152,936,916
14.0,0,0,0,0,1040,912,824,784
14.5,0,0,0,0,996,984,872,892
15.0,0,0,0,0,1200,820,848,740
15.5,0,0,0,0,1212,968,920,1072
16.0,0,0,0,0,1560,800,1000,1280
16.5,0,0,0,0,1728,964,1068,1364
17.0,0,0,0,0,2472,720,1060,1360
17.5,1,1,0,0,2448,948,1032,1148
18.0,1,1,0,0,3060,1020,968,920
18.5,0,0,0,0,2840,904,864,504
19.0,1,1,0,0,3180,684,752,420
19.5,0,0,0,0,2336,588,688,368
20.0,0,0,0,0,2048,504,752,376
20.5,0,0,0,1,1572,368,480,324
21.0,0,0,0,0,1336,340,2076,256
21.5,0,0,0,1,1732,308,4528,332
22.0,0,1,0,0,1752,216,1488,256
22.5,0,1,0,0,648,232,376,244
23.0,0,0,0,0,592,192,320,192
23.5,0,0,0,0,400,188,196,140
24.0,0,0,0,0,120,132,72,112
24.5,-,-,-,-,0,8,0,16
