Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,-,0,-,0,209,1,255,2
5.5,-,0,-,0,255,143,180,140
6.0,-,0,-,0,523,217,206,124
6.5,-,1,-,0,1159,319,293,184
7.0,-,1,-,0,2061,494,446,231
7.5,-,0,-,0,3227,714,705,234
8.0,-,1,-,0,4369,1171,1016,408
8.5,-,1,-,1,3917,1544,1128,580
9.0,-,1,-,0,4127,1427,1486,566
9.5,-,1,-,0,3833,1757,1600,1037
10.0,-,0,-,0,2351,1297,1451,952
10.5,-,0,-,0,1950,1415,1818,1402
11.0,-,0,-,1,1614,1254,1696,1448
11.5,-,0,-,0,1644,1526,1684,1804
12.0,-,1,-,0,1806,1609,1566,1550
12.5,-,1,-,0,1927,2078,1740,1872
13.0,-,1,-,1,1670,1677,1680,1852
13.5,-,0,-,0,1537,1796,1681,1874
14.0,-,0,-,0,1596,1641,1638,2096
14.5,-,0,-,0,1577,1927,1932,2077
15.0,-,0,-,1,1623,2071,2078,2038
15.5,-,0,-,1,1623,2282,2280,2146
16.0,-,0,-,1,1703,2392,2418,2162
16.5,-,0,-,1,1729,2774,2788,2369
17.0,-,0,-,1,1893,3055,2926,2300
17.5,-,0,-,1,1920,3713,2152,2420
18.0,-,0,-,0,1980,3927,1621,1914
18.5,-,0,-,0,1907,3994,1281,1866
19.0,-,0,-,0,1821,3989,1151,1649
19.5,-,0,-,0,1577,3983,970,1698
20.0,-,0,-,0,1373,3578,1020,1432
20.5,-,0,-,0,1250,2562,1097,1398
21.0,-,0,-,0,1379,1912,1198,1558
21.5,-,0,-,0,1210,1634,1008,1992
22.0,-,0,-,0,1155,1663,1012,1952
22.5,-,0,-,0,907,1181,754,854
23.0,-,0,-,0,744,1142,624,726
23.5,-,0,-,0,585,905,536,578
24.0,-,0,-,0,21,578,16,331
24.5,-,-,-,-,0,91,1,86
