Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,56,44,36,8
5.5,0,0,0,0,50,270,34,112
6.0,0,0,0,0,84,546,44,210
6.5,0,1,0,0,106,1006,80,446
7.0,0,1,0,0,200,1896,80,586
7.5,0,1,0,0,338,3484,168,1484
8.0,0,2,0,0,536,4720,208,2420
8.5,0,2,0,0,572,7826,194,2310
9.0,1,2,0,1,652,5976,242,1918
9.5,0,1,0,0,624,6262,296,2670
10.0,1,1,1,1,680,2774,378,1934
10.5,0,1,0,0,784,2836,500,2482
11.0,1,1,1,1,1098,2030,1110,2194
11.5,1,1,0,1,1180,2216,1580,1952
12.0,1,1,1,1,1898,2094,1308,1488
12.5,1,1,1,1,1952,2458,1308,1722
13.0,1,1,1,1,1524,1756,1354,1372
13.5,1,1,1,1,1376,1772,2208,1682
14.0,1,1,1,1,1650,1262,2860,1472
14.5,1,1,1,1,1720,1500,1646,1964
15.0,1,1,1,1,2772,1182,1748,2304
15.5,1,1,1,1,2050,1404,1270,3620
16.0,1,1,1,1,2618,1124,1438,4836
16.5,1,0,1,1,2426,1322,1456,6916
17.0,1,1,1,1,3256,1208,1328,8036
17.5,1,1,1,1,3734,1548,1264,6548
18.0,2,1,1,1,4700,1410,1124,2040
18.5,1,1,1,1,4070,1522,1038,1008
19.0,1,1,1,1,3848,944,1260,524
19.5,1,1,1,0,2850,548,1536,392
20.0,1,1,1,1,2456,416,1408,268
20.5,2,1,1,1,1986,346,1964,240
21.0,1,1,1,1,1764,264,4546,192
21.5,1,1,1,1,2258,268,7212,176
22.0,1,0,1,1,2012,240,7626,160
22.5,1,0,0,1,1130,190,1296,128
23.0,1,0,0,0,1046,152,1092,100
23.5,1,0,0,0,768,108,660,68
24.0,-,0,-,0,152,84,88,60
24.5,-,-,-,-,0,6,0,2
