Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,56,68,120,136
5.5,0,0,0,0,54,258,76,176
6.0,0,0,0,0,82,450,96,232
6.5,0,1,0,0,146,924,128,360
7.0,0,1,0,0,234,1728,160,680
7.5,0,1,0,0,374,3134,256,1236
8.0,1,2,0,0,550,4946,432,1360
8.5,1,2,0,0,646,7156,472,1640
9.0,1,2,0,1,652,5244,544,1764
9.5,1,1,0,1,648,4556,704,1952
10.0,0,1,1,1,630,2120,824,1648
10.5,1,1,1,0,664,1806,776,1596
11.0,1,1,1,1,788,1240,928,1648
11.5,1,1,1,1,858,1334,1004,1800
12.0,1,1,0,1,1224,1416,1112,1920
12.5,1,1,1,1,1044,1816,1232,2108
13.0,1,1,1,1,982,1514,1308,1684
13.5,1,1,1,1,906,1482,1184,2104
14.0,1,1,1,1,1044,1270,1432,1952
14.5,1,1,1,1,1012,1346,1240,2056
15.0,1,1,1,1,1336,1260,1564,2072
15.5,1,1,1,1,1236,1348,1380,2568
16.0,1,1,1,1,1774,1266,1592,3200
16.5,1,1,1,1,1758,1344,1572,3608
17.0,1,1,2,1,3032,1414,1568,3144
17.5,1,1,1,1,3612,1730,1568,2376
18.0,1,1,1,1,4568,1776,1560,1792
18.5,1,1,1,1,3832,1578,1408,1368
19.0,1,1,1,1,3286,1242,1648,1040
19.5,1,1,0,0,2474,936,952,928
20.0,1,1,1,1,2034,728,972,940
20.5,1,1,0,1,1568,674,888,988
21.0,1,1,0,1,1378,690,1768,980
21.5,1,1,0,1,1308,626,6692,1076
22.0,1,0,0,1,1394,528,3004,856
22.5,1,0,0,1,684,472,500,704
23.0,1,0,0,0,582,426,420,504
23.5,1,0,0,0,354,350,280,556
24.0,0,0,0,0,116,292,68,440
24.5,-,-,-,-,2,14,0,16
