Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,26,43,124,44
5.5,0,0,0,0,14,273,64,176
6.0,0,0,0,0,19,484,76,416
6.5,1,1,0,0,23,1011,64,648
7.0,1,1,0,0,55,2158,100,1352
7.5,1,1,0,0,61,3831,104,1152
8.0,2,2,0,0,123,5700,212,1248
8.5,2,1,0,1,152,7785,280,1304
9.0,2,1,0,1,284,6309,336,1976
9.5,2,1,0,1,356,3701,360,1288
10.0,1,1,1,1,464,1404,472,824
10.5,1,1,1,1,507,1238,504,936
11.0,1,1,1,1,610,807,448,792
11.5,1,1,1,1,700,844,664,976
12.0,1,1,1,1,1041,926,712,808
12.5,1,1,1,1,779,1450,680,1016
13.0,1,1,1,1,762,1005,792,932
13.5,1,1,1,1,719,965,744,960
14.0,1,1,1,1,851,682,820,744
14.5,1,1,1,1,882,869,840,752
15.0,1,1,1,1,1072,646,864,808
15.5,1,1,1,1,1077,730,984,712
16.0,1,1,1,1,1436,586,1272,672
16.5,1,1,1,1,1739,536,1352,792
17.0,1,1,2,1,2835,435,1552,592
17.5,2,2,1,1,4281,442,1360,632
18.0,2,2,1,1,4775,409,1544,384
18.5,2,2,1,1,3863,349,1208,432
19.0,1,1,1,1,3202,233,960,392
19.5,1,2,1,1,2392,158,856,372
20.0,2,1,1,1,2005,113,696,196
20.5,1,1,1,1,1587,92,608,272
21.0,1,2,1,1,1387,84,560,208
21.5,1,1,1,1,1146,81,504,248
22.0,1,1,1,1,1028,65,452,200
22.5,1,1,1,1,773,67,396,192
23.0,1,1,1,1,689,38,344,104
23.5,1,1,1,1,468,30,264,88
24.0,1,0,0,0,92,24,96,72
24.5,-,-,-,-,3,1,16,8
