Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,109,49,564,196
5.5,0,0,0,0,211,225,526,438
6.0,1,0,0,0,288,314,526,528
6.5,1,0,0,0,600,572,826,608
7.0,1,1,0,0,1298,916,1236,936
7.5,2,1,0,0,2260,1451,1528,1068
8.0,2,2,0,0,3382,2085,1856,1576
8.5,2,1,0,0,3132,2082,2086,1740
9.0,3,1,0,1,2888,1673,2864,2368
9.5,2,1,0,1,1716,1462,2836,2564
10.0,1,1,1,1,1174,905,3128,2434
10.5,1,1,1,1,982,921,3274,2648
11.0,1,1,1,1,884,920,3124,2712
11.5,1,1,1,1,861,950,3092,2942
12.0,1,1,1,1,1060,1052,2976,2782
12.5,1,1,1,1,1116,1101,3038,2896
13.0,1,1,1,1,992,934,2812,2760
13.5,1,1,1,1,874,897,2740,2808
14.0,1,1,1,1,885,900,2416,2860
14.5,1,1,1,1,878,984,2720,2990
15.0,1,1,1,1,903,984,2862,3088
15.5,1,1,1,1,905,1142,3216,3184
16.0,1,1,1,1,1011,1150,3632,3618
16.5,1,1,1,1,1085,1463,4200,3604
17.0,1,1,2,1,1339,1818,3744,3690
17.5,1,1,1,1,1758,2535,3242,3604
18.0,1,1,1,1,2014,2790,2816,3106
18.5,1,1,1,1,1776,2816,2520,2860
19.0,1,1,1,0,1462,2239,2244,2500
19.5,1,1,1,1,1166,1850,2112,2508
20.0,1,1,1,1,1090,1462,2200,2172
20.5,1,1,1,1,1004,1137,2160,1996
21.0,1,1,1,1,1039,1059,2288,2240
21.5,1,1,1,1,970,921,2232,2714
22.0,1,1,0,1,1023,850,2164,2904
22.5,1,1,1,1,922,602,1976,1332
23.0,1,1,1,1,1064,507,1964,1128
23.5,1,1,1,1,1142,461,1872,894
24.0,1,0,0,0,249,97,420,272
24.5,-,-,-,-,1,1,4,0
