Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,30,44,56,40
5.5,0,0,0,0,28,306,68,156
6.0,1,0,0,0,68,460,96,272
6.5,1,0,0,0,108,1042,116,264
7.0,1,1,0,0,158,2248,200,544
7.5,1,1,0,0,246,4314,192,848
8.0,2,1,0,0,458,6048,304,1052
8.5,2,1,0,0,556,7836,384,1608
9.0,2,1,1,0,682,4322,616,1736
9.5,1,1,1,0,746,3570,720,2128
10.0,1,1,1,1,872,1608,936,1624
10.5,1,1,1,1,944,1638,1056,1792
11.0,1,0,1,1,966,1230,1000,1760
11.5,1,1,1,1,1154,1226,1064,1740
12.0,1,1,1,1,1328,1272,1176,1512
12.5,1,1,1,1,1160,1702,1008,1672
13.0,1,1,1,1,1204,1314,1072,1384
13.5,1,1,1,1,1064,1344,1192,1612
14.0,1,1,1,1,1214,1084,1288,1380
14.5,1,1,1,1,1228,1282,1368,1340
15.0,1,1,1,1,1358,1036,1416,1376
15.5,1,1,1,1,1294,1240,1496,1164
16.0,1,1,1,1,1690,972,1840,1228
16.5,1,1,1,1,1854,1084,1392,1336
17.0,1,1,1,1,3186,952,1720,1080
17.5,1,1,1,1,4482,1212,1560,1288
18.0,1,2,1,1,4554,1106,1496,760
18.5,1,1,1,1,3474,1008,1496,680
19.0,1,1,0,1,3082,634,1236,644
19.5,1,1,0,1,2468,458,1160,592
20.0,1,1,0,1,2096,370,968,500
20.5,1,1,0,1,1628,348,1052,664
21.0,0,1,0,1,1630,370,904,544
21.5,0,1,0,1,1186,318,648,664
22.0,0,1,0,1,1072,352,648,660
22.5,0,1,0,1,814,268,416,528
23.0,0,1,0,1,704,212,488,332
23.5,0,1,0,1,468,132,288,204
24.0,0,0,0,0,80,86,84,188
24.5,-,-,-,-,0,0,0,8
