Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,52,60,192,184
5.5,0,0,0,0,80,299,188,544
6.0,1,0,0,0,125,453,248,648
6.5,1,0,0,0,305,894,424,852
7.0,1,0,0,0,476,1586,592,1140
7.5,2,0,0,0,798,2519,764,1410
8.0,2,1,0,0,1067,3723,892,1972
8.5,2,1,0,0,902,4235,918,2544
9.0,2,1,1,0,760,2498,1128,2908
9.5,2,0,1,0,652,1910,1108,3812
10.0,1,0,1,1,568,1152,1408,3532
10.5,1,1,1,1,606,1100,1794,3952
11.0,1,0,1,1,654,905,2248,3580
11.5,1,1,1,1,742,890,2264,3504
12.0,1,1,1,1,928,968,2548,3264
12.5,1,1,1,1,911,1101,2534,3500
13.0,1,1,1,1,886,936,2660,3196
13.5,1,1,1,1,783,908,2758,3188
14.0,1,1,1,1,850,761,2932,3058
14.5,1,1,1,1,925,843,3128,2984
15.0,1,1,1,1,957,801,3310,2904
15.5,1,1,1,1,976,825,3432,2876
16.0,1,1,1,1,1241,810,3552,2886
16.5,0,1,1,1,1325,880,3772,2946
17.0,1,1,1,1,2045,961,3776,2608
17.5,1,1,1,1,2668,1253,3524,2420
18.0,1,1,1,1,2948,1266,3218,1960
18.5,1,1,1,1,2433,1080,3084,1624
19.0,1,1,0,0,2134,752,3180,1242
19.5,1,1,0,1,1798,577,3248,1068
20.0,1,1,0,1,1465,461,2498,798
20.5,0,1,0,1,1219,348,1980,704
21.0,0,1,0,1,1053,323,1722,692
21.5,0,1,0,1,856,288,1548,648
22.0,0,1,0,0,820,274,1410,618
22.5,0,1,0,1,620,196,1112,494
23.0,0,0,0,0,556,167,1064,404
23.5,0,0,0,0,420,101,762,294
24.0,0,0,0,0,100,48,268,144
24.5,-,-,-,-,1,1,6,0
