Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,136,80,228,140
5.5,0,0,0,0,146,198,248,248
6.0,0,0,0,0,240,344,256,248
6.5,1,0,0,0,418,594,328,376
7.0,1,0,0,0,740,1000,416,528
7.5,1,0,0,0,1340,1724,600,652
8.0,2,0,0,0,2140,2876,1104,920
8.5,2,0,0,0,2206,3336,1280,1280
9.0,2,0,0,0,1794,2058,1824,1268
9.5,1,0,0,0,1558,1796,2088,1712
10.0,1,0,1,1,1322,1156,2420,1640
10.5,1,0,1,1,1444,1270,3020,1912
11.0,1,0,1,1,1354,1162,3048,1752
11.5,1,0,1,1,1458,1254,3016,1920
12.0,1,1,1,1,1604,1326,2784,2044
12.5,1,1,1,1,1676,1470,2768,2324
13.0,1,1,1,1,1502,1348,2520,2216
13.5,0,0,1,1,1336,1330,2596,2208
14.0,1,1,1,1,1346,1296,2256,2312
14.5,1,0,1,1,1344,1436,2424,2508
15.0,1,1,1,1,1342,1424,2284,2616
15.5,0,1,1,1,1316,1428,2256,2568
16.0,0,1,1,1,1448,1546,2216,2480
16.5,0,1,1,1,1406,1634,2348,2732
17.0,0,1,1,1,1968,1866,2028,2600
17.5,0,1,1,1,2390,2254,1960,2720
18.0,0,1,1,1,2482,2518,1864,2120
18.5,0,1,0,1,2038,2298,1556,2200
19.0,0,1,0,1,1712,1786,1604,1936
19.5,0,1,0,0,1424,1374,1352,1744
20.0,0,1,0,1,1246,1132,1152,1368
20.5,0,1,0,1,1174,906,1188,1400
21.0,0,1,0,1,1166,782,1308,1296
21.5,0,1,0,1,1074,676,1216,1176
22.0,0,1,0,0,1090,566,1216,1000
22.5,0,1,0,1,1002,532,968,888
23.0,0,1,0,0,1042,404,932,712
23.5,0,0,0,0,870,398,844,632
24.0,0,0,0,0,216,180,336,308
24.5,-,-,-,-,2,2,4,0
