Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,64,48,100,32
5.5,0,0,0,0,64,168,80,72
6.0,0,0,0,0,84,188,56,88
6.5,1,0,0,0,208,564,80,96
7.0,1,0,0,0,344,836,120,184
7.5,1,0,0,0,672,1740,220,188
8.0,2,0,0,0,900,3036,312,228
8.5,1,0,0,0,948,4592,304,568
9.0,2,0,1,0,980,2336,464,536
9.5,1,0,0,0,948,2532,668,1072
10.0,1,0,1,0,944,1444,736,1228
10.5,1,0,1,1,968,1684,888,1648
11.0,1,0,1,1,884,1504,896,1700
11.5,0,0,1,1,1112,1524,1004,1580
12.0,1,0,1,1,1432,1692,1240,1880
12.5,1,0,1,1,1404,1776,1376,1688
13.0,1,0,1,1,1360,1772,1420,1980
13.5,0,0,1,1,1372,1724,1656,1820
14.0,0,0,1,1,1600,1636,1776,1976
14.5,1,0,1,1,1696,1736,1808,1968
15.0,1,1,1,1,1740,1672,1888,2024
15.5,0,1,1,1,1804,1764,2088,1800
16.0,0,1,1,1,2236,1700,2120,1852
16.5,0,1,1,1,2168,1748,2120,1984
17.0,0,1,1,1,2532,1748,1972,1824
17.5,0,1,1,1,3628,2000,1968,1496
18.0,0,1,1,1,3584,1996,2016,1276
18.5,0,1,0,1,3032,1956,1552,1352
19.0,0,1,0,1,2824,1652,1712,1240
19.5,0,1,0,0,2252,1196,1464,796
20.0,0,1,0,1,2208,944,1516,780
20.5,0,1,0,1,1720,864,1292,604
21.0,0,1,0,1,1564,716,1224,632
21.5,0,1,0,1,1216,656,816,520
22.0,0,1,0,0,1024,476,832,428
22.5,0,0,0,1,820,372,588,312
23.0,0,1,0,0,800,344,640,288
23.5,0,0,0,0,508,252,352,144
24.0,0,0,0,0,84,188,80,160
24.5,-,-,-,-,0,0,0,0
