Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,108,36,124,36
5.5,0,0,0,0,104,76,96,64
6.0,0,0,0,0,140,116,120,64
6.5,1,0,0,0,300,324,100,136
7.0,1,0,0,0,660,480,272,248
7.5,1,0,0,0,1036,896,312,240
8.0,2,0,0,0,1700,1216,440,360
8.5,2,0,0,0,1748,1596,768,632
9.0,1,0,1,0,1492,1228,848,956
9.5,1,0,0,0,1456,1412,1328,1156
10.0,1,0,1,0,1508,1072,1544,1100
10.5,1,0,1,1,1564,1300,1748,1628
11.0,0,0,1,0,1560,1292,1844,1656
11.5,0,0,1,1,1580,1436,1964,1832
12.0,1,0,1,1,1680,1412,1888,1768
12.5,0,0,1,1,1648,1692,1856,2000
13.0,0,0,1,1,1616,1452,2116,1872
13.5,0,0,1,1,1608,1496,1896,1764
14.0,0,0,1,1,1752,1440,2068,1864
14.5,1,0,1,1,1612,1624,2360,2036
15.0,0,1,1,1,1584,1580,2156,1904
15.5,0,1,1,1,1600,1660,1964,2104
16.0,0,1,1,1,1788,1748,2128,2152
16.5,0,1,1,1,1772,2028,2096,2304
17.0,0,1,1,1,1932,2228,2092,2016
17.5,0,1,1,1,2120,3084,1888,2268
18.0,0,1,1,1,2192,3304,1696,2044
18.5,0,1,0,1,1968,3232,1660,1832
19.0,0,1,0,1,1704,2492,1456,1436
19.5,0,1,0,0,1440,2060,1232,1320
20.0,0,1,0,1,1260,1592,1224,936
20.5,0,1,0,1,1184,1292,1224,1064
21.0,0,1,0,1,1120,1160,1120,928
21.5,0,1,0,1,1012,960,912,944
22.0,0,1,0,0,876,760,904,636
22.5,0,1,0,1,764,652,680,596
23.0,0,1,0,0,748,472,664,336
23.5,0,0,0,0,668,360,556,200
24.0,0,0,0,0,176,264,128,256
24.5,-,-,-,-,12,40,12,8
