Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,149,157,316,178
5.5,0,0,0,0,259,370,360,548
6.0,0,0,0,0,535,493,445,543
6.5,1,0,0,0,1147,884,610,714
7.0,1,0,0,0,1886,1269,870,808
7.5,1,0,0,0,3189,1935,1092,1210
8.0,2,0,0,0,3884,2332,1502,1450
8.5,2,0,0,0,3543,2308,1826,1754
9.0,1,0,0,0,2880,1732,2193,2128
9.5,1,0,0,1,1627,1453,2300,2588
10.0,1,0,1,1,1250,1135,2502,2481
10.5,1,0,1,1,1066,1095,2570,3019
11.0,0,0,1,1,1018,1020,2510,2854
11.5,0,0,1,1,965,988,2351,2630
12.0,1,0,1,1,1085,1109,2356,2594
12.5,0,0,1,1,1105,1143,2396,2852
13.0,0,0,1,1,1012,1094,2404,2834
13.5,0,0,1,1,926,1023,2366,2869
14.0,0,0,1,1,925,997,2474,2802
14.5,1,0,1,1,968,1039,2573,2868
15.0,0,0,1,1,1052,1075,2829,2910
15.5,0,0,1,1,1052,1146,2817,2910
16.0,0,0,1,0,1171,1391,3074,2864
16.5,0,0,1,1,1279,1587,3136,2942
17.0,0,0,1,1,1533,2003,3154,2957
17.5,0,0,1,0,1818,2954,3074,2851
18.0,0,0,1,0,1888,3099,2754,2693
18.5,0,0,0,0,1761,2978,2476,2450
19.0,0,1,0,0,1620,2252,2186,2140
19.5,0,1,0,0,1366,1950,1886,1761
20.0,0,0,0,0,1278,1541,1802,1852
20.5,0,0,0,0,1070,1330,1830,1942
21.0,0,1,0,0,1070,1127,1850,1968
21.5,0,0,0,0,986,1010,1912,2341
22.0,0,0,0,0,918,911,1832,1888
22.5,0,0,0,0,834,752,1452,1234
23.0,0,0,0,0,766,651,1484,1008
23.5,0,0,0,0,662,483,1292,664
24.0,0,0,0,0,341,270,495,456
24.5,-,-,-,-,1,20,0,18
