Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,136,8,64,8
5.5,0,0,0,0,180,100,64,72
6.0,0,0,0,0,360,152,184,72
6.5,0,0,0,0,680,384,208,92
7.0,1,0,0,0,1124,644,408,112
7.5,1,0,0,0,1824,1208,444,208
8.0,1,0,0,0,2728,2360,652,316
8.5,1,0,0,0,2416,3364,856,384
9.0,1,0,0,0,1840,1740,968,396
9.5,0,0,0,1,1476,1224,1200,444
10.0,0,0,0,1,1356,664,1216,440
10.5,0,0,0,1,1120,696,1216,632
11.0,0,0,1,1,968,556,1184,376
11.5,0,0,0,1,1004,632,936,600
12.0,1,0,1,1,1192,588,880,496
12.5,0,0,1,1,928,884,880,592
13.0,0,0,1,1,896,700,788,564
13.5,0,0,1,1,716,792,680,648
14.0,0,0,1,1,788,628,624,544
14.5,1,0,1,1,736,868,624,728
15.0,0,0,1,0,824,720,700,632
15.5,0,0,1,0,784,944,788,616
16.0,0,0,1,0,1056,772,708,604
16.5,0,0,1,1,1036,848,704,792
17.0,0,0,1,0,1508,892,736,712
17.5,0,0,1,0,2052,1128,760,680
18.0,0,0,1,0,1956,1396,604,704
18.5,0,0,0,0,1420,1376,512,748
19.0,0,1,0,0,1108,1188,432,656
19.5,0,1,0,0,816,1132,352,640
20.0,0,0,0,0,572,1188,228,660
20.5,0,0,0,0,464,1036,176,696
21.0,0,0,0,0,408,1152,176,792
21.5,0,0,0,0,328,1064,200,816
22.0,0,0,0,0,220,916,120,608
22.5,0,0,0,0,192,772,136,676
23.0,0,0,0,0,168,612,120,440
23.5,0,0,0,0,136,540,88,360
24.0,0,0,0,0,20,424,4,272
24.5,-,-,-,-,0,0,0,0
