Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,208,36,176,40
5.5,0,0,0,0,380,168,216,216
6.0,0,0,0,0,660,244,392,176
6.5,0,0,0,0,1084,444,480,260
7.0,1,0,0,0,1752,804,704,352
7.5,1,0,0,0,2784,1396,860,512
8.0,1,0,0,0,4080,2676,1284,660
8.5,0,0,0,0,3388,3892,1360,976
9.0,1,0,0,0,2788,1840,1856,1080
9.5,0,0,0,0,2224,2064,2148,1380
10.0,0,0,0,0,2016,1092,2400,1360
10.5,0,0,0,0,1788,1532,2328,1736
11.0,0,0,0,0,1860,1248,2216,1992
11.5,0,0,1,1,1524,1344,1832,1932
12.0,0,0,0,0,1792,1264,2056,1768
12.5,0,0,0,0,1520,1560,1956,1856
13.0,0,0,0,0,1480,1364,2040,1840
13.5,0,0,1,0,1444,1432,1908,1944
14.0,0,0,1,0,1516,1308,2040,1864
14.5,1,0,1,0,1524,1492,2200,1872
15.0,0,0,1,0,1612,1452,1992,2092
15.5,0,0,1,0,1464,1680,2168,2040
16.0,0,0,1,0,1664,1616,2232,2032
16.5,0,0,1,0,1716,2056,2080,2080
17.0,0,0,1,0,2376,2040,2200,2172
17.5,0,0,1,0,3048,2684,1768,1972
18.0,0,0,1,0,3224,2916,1916,1876
18.5,0,0,0,0,2348,3044,1272,1808
19.0,0,0,0,0,1876,2800,1200,1528
19.5,0,0,0,0,1388,2480,888,1544
20.0,0,0,0,0,1272,2284,856,1336
20.5,0,0,0,0,1032,2052,832,1860
21.0,0,0,0,0,1060,2228,948,1512
21.5,0,0,0,0,792,2028,680,1800
22.0,0,0,0,0,956,1780,764,1524
22.5,0,0,0,0,760,1756,748,1312
23.0,0,0,0,0,716,1208,620,876
23.5,0,0,0,0,476,1108,448,1036
24.0,0,0,0,0,76,844,80,580
24.5,-,-,-,-,0,0,0,0
