Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,-,0,-,386,40,228,44
5.5,0,-,0,-,456,154,244,248
6.0,0,-,0,-,904,236,356,252
6.5,0,-,0,-,1500,516,472,310
7.0,0,-,0,-,2852,916,700,510
7.5,0,-,0,-,4170,1278,924,636
8.0,1,-,0,-,5568,2108,1172,1122
8.5,0,-,0,-,4310,2090,1432,1560
9.0,0,-,0,-,3174,1892,1926,1956
9.5,0,-,0,-,2332,2532,2296,3272
10.0,0,-,0,-,2278,2170,2736,3280
10.5,0,-,0,-,2198,2808,3044,3938
11.0,0,-,0,-,2172,2694,2960,3864
11.5,0,-,1,-,2232,2498,3028,4054
12.0,0,-,0,-,2612,2400,3352,3444
12.5,0,-,0,-,2534,2728,3424,3644
13.0,0,-,0,-,2600,2270,3728,3194
13.5,0,-,0,-,2620,2402,3752,3352
14.0,0,-,0,-,2786,2116,3950,3212
14.5,0,-,0,-,2662,2306,4084,3572
15.0,0,-,1,-,2882,2228,4296,3300
15.5,0,-,1,-,2876,2452,4264,3364
16.0,0,-,1,-,3044,2394,4252,3108
16.5,0,-,0,-,2936,2588,4122,3184
17.0,0,-,1,-,3264,2692,4028,2792
17.5,0,-,0,-,3172,3312,3540,2712
18.0,0,-,0,-,3136,3798,3518,2272
18.5,0,-,0,-,2438,3704,2712,2116
19.0,0,-,0,-,1936,3224,2306,1736
19.5,0,-,0,-,1626,2780,1902,1784
20.0,0,-,0,-,1496,2492,1860,1596
20.5,0,-,0,-,1372,2304,1820,1568
21.0,0,-,0,-,1368,2170,1832,1718
21.5,0,-,0,-,1064,1944,1434,1504
22.0,0,-,0,-,984,1828,1386,1506
22.5,0,-,0,-,778,1524,1036,1140
23.0,0,-,0,-,654,1368,880,1078
23.5,0,-,0,-,378,1138,496,712
24.0,0,-,0,-,62,858,86,696
24.5,-,-,-,-,4,12,8,4
