Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,44,42,380,48
5.5,0,0,0,0,21,195,120,248
6.0,0,0,0,0,32,328,100,392
6.5,1,0,0,0,35,650,112,500
7.0,1,0,0,0,74,1061,228,760
7.5,1,0,0,0,106,2163,216,1656
8.0,1,1,0,0,171,3743,352,2072
8.5,1,0,0,0,158,5613,456,2584
9.0,1,0,0,0,247,3525,576,2040
9.5,1,0,0,0,267,2430,576,2208
10.0,0,0,0,0,324,1194,776,2404
10.5,0,0,0,0,350,996,832,2080
11.0,0,0,0,0,450,649,856,1704
11.5,0,0,0,0,509,628,828,2524
12.0,0,0,0,0,642,630,1032,2340
12.5,0,0,0,0,489,874,1064,2068
13.0,0,0,0,0,599,691,1604,1920
13.5,0,0,0,0,525,752,1596,2040
14.0,0,0,0,0,594,543,1688,1176
14.5,0,0,0,0,667,565,1656,1088
15.0,0,0,0,0,780,455,1920,992
15.5,0,0,0,0,789,521,1876,948
16.0,0,1,0,0,1231,402,2320,928
16.5,0,1,0,0,1288,433,3440,1040
17.0,1,1,0,0,2252,391,3408,972
17.5,1,1,0,0,3035,434,2284,808
18.0,1,1,0,0,3073,364,1832,696
18.5,1,1,0,0,2370,369,1376,628
19.0,1,1,0,0,2085,242,1200,408
19.5,1,1,0,0,1558,211,1032,504
20.0,0,0,0,0,1316,144,1144,376
20.5,0,0,0,0,1072,137,1072,328
21.0,0,0,0,0,1047,131,1240,420
21.5,0,0,0,0,910,128,880,416
22.0,0,0,0,0,816,109,1048,352
22.5,0,0,0,0,640,79,792,272
23.0,0,0,0,0,573,46,668,176
23.5,0,0,0,0,427,42,520,160
24.0,0,0,0,0,143,42,116,216
24.5,-,0,-,-,2,9,8,16
