Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,29,56,68,72
5.5,0,0,0,0,33,184,72,248
6.0,0,0,0,0,45,278,168,344
6.5,1,0,0,0,98,612,232,496
7.0,1,0,0,0,205,1149,320,888
7.5,1,1,0,0,335,1915,536,1316
8.0,1,1,0,0,488,3320,744,1872
8.5,1,1,0,0,460,5331,896,3120
9.0,1,0,0,0,486,3516,1088,2376
9.5,0,0,0,0,419,2928,1216,3668
10.0,0,0,0,0,506,1814,1416,5208
10.5,0,0,0,0,525,1186,1552,4080
11.0,0,0,0,0,568,632,1396,1648
11.5,0,0,0,0,636,760,1424,1748
12.0,0,0,0,0,853,792,2352,1776
12.5,1,0,0,0,775,1094,2864,2472
13.0,0,0,0,0,804,762,4088,1920
13.5,0,0,0,0,672,883,3024,3152
14.0,0,0,0,0,843,684,2552,2056
14.5,0,0,0,0,837,653,1944,1384
15.0,0,0,0,0,915,528,1820,1456
15.5,0,0,0,0,869,608,1928,1416
16.0,0,1,0,0,1446,534,2680,1096
16.5,1,1,0,0,1523,558,4372,1264
17.0,1,1,1,0,2308,529,3440,1072
17.5,1,1,1,0,2650,678,2264,1096
18.0,1,1,0,0,3196,662,2072,888
18.5,1,1,0,0,2349,683,1304,808
19.0,1,1,0,0,2047,483,1272,728
19.5,1,1,0,0,1567,328,892,760
20.0,1,0,0,0,1371,239,848,740
20.5,0,0,0,0,1145,233,824,788
21.0,0,0,0,0,929,226,756,792
21.5,0,0,0,0,646,222,552,868
22.0,0,0,0,0,603,193,560,840
22.5,0,0,0,0,426,157,328,544
23.0,0,0,0,0,357,110,352,424
23.5,0,0,0,0,237,97,192,304
24.0,0,0,0,0,70,66,52,176
24.5,-,0,-,-,1,14,0,8
