Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,32,51,132,144
5.5,0,0,0,0,121,104,260,268
6.0,0,0,0,0,166,248,256,272
6.5,0,0,0,0,246,448,456,528
7.0,0,0,0,0,524,900,696,768
7.5,0,1,0,0,797,1455,884,1084
8.0,1,1,0,0,1368,2573,1272,2012
8.5,0,1,0,0,1217,3617,1288,3072
9.0,0,0,0,0,930,2339,1736,2368
9.5,0,0,0,0,823,1845,1904,2480
10.0,0,0,0,0,714,1484,2220,2020
10.5,0,0,0,0,632,1457,2248,2976
11.0,0,0,0,0,588,695,1944,2496
11.5,0,0,0,0,682,781,2176,2560
12.0,0,0,0,0,926,861,2844,2672
12.5,0,0,0,0,912,1202,2956,2816
13.0,0,0,0,0,760,1019,2800,3004
13.5,0,0,0,0,688,773,2604,2784
14.0,0,0,0,0,803,730,2464,2336
14.5,0,0,0,0,880,788,2688,2304
15.0,0,0,0,0,1035,722,2728,2168
15.5,0,0,0,0,953,762,2712,2216
16.0,0,0,0,0,1345,755,3216,2168
16.5,1,0,0,0,1364,834,3028,2476
17.0,1,0,0,0,1907,898,3840,2528
17.5,1,1,0,0,2315,1116,2904,2480
18.0,1,1,0,0,2354,1171,3228,1836
18.5,1,1,0,0,1873,1102,2032,1712
19.0,1,0,0,0,1733,843,1944,1584
19.5,1,0,0,0,1355,671,1688,1324
20.0,1,0,0,0,1219,543,1496,1228
20.5,0,0,0,0,1033,499,1496,1216
21.0,0,0,0,0,1025,428,1432,1152
21.5,0,0,0,0,848,399,1276,1304
22.0,0,0,0,0,789,332,956,1352
22.5,0,0,0,0,515,301,776,972
23.0,0,0,0,0,534,233,728,640
23.5,0,0,0,0,373,231,568,724
24.0,0,0,0,0,107,107,116,312
24.5,-,-,-,-,0,3,0,0
