Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,41,74,68,76
5.5,0,0,0,0,51,220,52,180
6.0,0,0,0,0,121,563,100,246
6.5,0,0,0,0,233,1147,164,392
7.0,0,1,0,0,528,2317,278,604
7.5,0,1,0,0,873,3951,284,874
8.0,0,1,0,0,1393,6624,460,1508
8.5,0,1,0,0,1402,8380,566,2364
9.0,0,1,0,0,1113,4620,736,2852
9.5,0,1,0,0,907,3553,856,2904
10.0,0,0,0,0,979,2114,1186,3278
10.5,0,0,0,0,1042,2043,1676,3812
11.0,0,0,0,0,1103,1772,1774,3576
11.5,0,0,0,0,1261,1645,1940,3716
12.0,0,0,0,0,1642,1713,2358,3218
12.5,0,0,0,0,1528,2070,2396,3464
13.0,0,0,0,0,1559,1654,2576,3240
13.5,0,0,0,0,1511,1630,2988,3524
14.0,0,0,0,0,1690,1438,3024,3164
14.5,0,0,0,0,1667,1529,3216,3092
15.0,0,0,0,0,1871,1379,3544,2816
15.5,0,0,0,0,1783,1458,3492,2796
16.0,0,0,0,0,2227,1339,3706,2524
16.5,1,0,0,0,2481,1470,3684,2638
17.0,1,0,0,0,3663,1516,3600,2420
17.5,1,1,0,0,5293,1867,3472,2328
18.0,1,1,0,0,5333,1838,3236,1816
18.5,1,0,0,0,4472,1584,2856,1492
19.0,1,0,0,0,3798,1119,3134,1000
19.5,1,0,0,0,2823,810,2086,832
20.0,1,0,0,0,2352,684,1812,716
20.5,1,0,0,0,1868,547,1512,664
21.0,0,0,0,0,1606,501,1288,636
21.5,0,0,0,0,1327,438,972,596
22.0,0,0,0,0,1167,433,896,540
22.5,0,0,0,0,1008,330,848,394
23.0,0,0,0,0,769,267,598,310
23.5,0,0,0,0,562,213,538,236
24.0,0,0,0,0,164,114,102,100
24.5,0,-,-,-,4,9,2,2
