Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,106,34,244,40
5.5,0,0,0,0,138,318,192,288
6.0,0,0,0,0,244,626,248,360
6.5,0,0,0,0,490,1262,352,664
7.0,0,1,0,0,978,2128,624,776
7.5,0,1,0,0,1556,4384,776,1212
8.0,0,1,0,0,2358,6948,1208,1500
8.5,0,1,0,0,1926,7760,1200,1648
9.0,0,1,0,0,1652,4218,1708,1424
9.5,0,1,0,0,1222,3074,1912,1616
10.0,0,0,0,0,1166,1428,2136,1552
10.5,0,0,0,0,994,1150,1952,1724
11.0,0,0,0,0,1064,1036,2168,1488
11.5,0,0,0,0,1056,1032,1904,1616
12.0,0,0,0,0,1356,1070,2056,1548
12.5,0,0,0,0,1196,1316,1840,1720
13.0,0,0,0,0,1176,1026,2080,1816
13.5,0,0,0,0,992,1038,1880,1732
14.0,0,0,0,0,1112,846,1888,1644
14.5,0,0,0,0,1012,952,1856,1984
15.0,0,0,0,0,1258,908,2200,1640
15.5,0,0,0,0,1242,976,1976,1832
16.0,0,0,0,0,1810,920,2248,1508
16.5,1,0,0,0,1980,1096,2008,1944
17.0,1,0,0,0,3566,1190,2344,1752
17.5,1,0,0,0,4882,1430,1936,1952
18.0,1,0,0,0,5226,1608,1992,1612
18.5,1,0,0,0,3990,1576,1468,1560
19.0,1,0,0,0,3408,1280,1344,1368
19.5,1,0,0,0,2456,1146,1104,1248
20.0,1,0,0,0,2054,1040,1096,1256
20.5,1,0,0,0,1592,928,960,1168
21.0,0,0,0,0,1446,902,984,1288
21.5,0,0,0,0,1154,908,864,1472
22.0,0,0,0,0,1110,746,916,1336
22.5,0,0,0,0,874,724,736,1192
23.0,0,0,0,0,844,470,696,840
23.5,0,0,0,0,522,460,440,560
24.0,0,0,0,0,154,328,72,472
24.5,0,-,-,-,6,110,0,0
