Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,144,106,204,188
5.5,0,0,0,0,292,258,376,348
6.0,0,0,0,0,398,550,496,536
6.5,0,1,0,0,976,1100,680,624
7.0,0,1,0,0,1844,1748,992,1040
7.5,0,1,0,0,3038,2466,1296,1128
8.0,0,2,0,0,4426,4120,1752,1984
8.5,0,1,0,0,3288,3190,1904,1460
9.0,0,1,0,0,2314,1782,2336,1580
9.5,0,1,0,0,1492,1286,2256,1784
10.0,0,1,0,0,1222,926,2736,1500
10.5,0,0,0,0,972,788,2772,1872
11.0,0,0,0,0,954,702,2776,1832
11.5,0,0,0,0,956,682,2864,2248
12.0,0,0,0,0,1108,832,2920,2260
12.5,0,0,0,0,1028,962,2964,2248
13.0,0,0,0,0,910,852,2760,2528
13.5,0,0,0,0,816,822,2552,2564
14.0,0,0,0,0,802,736,2548,2200
14.5,0,0,0,0,804,794,2392,2280
15.0,0,0,0,0,932,822,2576,2480
15.5,0,0,0,0,976,896,2624,2608
16.0,0,0,0,0,1208,954,2844,2572
16.5,1,0,0,0,1404,1190,3032,2652
17.0,1,0,0,0,2140,1432,3208,2864
17.5,1,0,0,0,2480,1800,2944,2704
18.0,1,0,0,0,2984,2272,2672,2572
18.5,1,0,0,0,2392,2214,2032,2384
19.0,1,0,0,0,1828,2022,1704,2168
19.5,1,0,0,0,1514,1794,1324,1952
20.0,1,0,0,0,1214,1628,1124,1832
20.5,1,0,0,0,1026,1506,1024,1964
21.0,0,0,0,0,842,1410,1192,2120
21.5,0,0,0,0,726,1252,1048,1936
22.0,0,0,0,0,616,1194,920,1836
22.5,0,0,0,0,528,1058,692,1472
23.0,0,0,0,0,504,858,624,1340
23.5,0,0,0,0,340,722,484,1044
24.0,0,0,0,0,116,494,32,896
24.5,0,-,-,-,4,222,0,4
