Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,348,42,352,128
5.5,0,0,0,0,540,170,404,344
6.0,0,0,0,0,822,334,704,392
6.5,0,1,0,0,1720,582,992,600
7.0,0,1,0,0,2812,1066,1332,804
7.5,0,2,0,0,4584,1656,2032,1032
8.0,0,2,0,0,6246,1848,2168,1184
8.5,0,1,0,0,4286,1366,2660,1112
9.0,0,0,0,0,2930,804,2600,808
9.5,0,0,0,0,1804,652,2800,1000
10.0,0,1,0,0,1360,436,2992,720
10.5,0,0,0,0,1066,470,3104,920
11.0,0,0,0,0,902,476,2812,1040
11.5,0,0,0,0,914,464,2736,1100
12.0,0,0,0,0,1034,590,2624,1336
12.5,0,0,0,0,964,732,2352,1480
13.0,0,0,0,0,792,702,2176,1808
13.5,0,0,0,0,696,652,2312,1896
14.0,0,0,0,0,600,610,1944,1992
14.5,0,0,0,0,592,690,1944,1800
15.0,0,0,0,0,650,800,1896,1768
15.5,0,0,0,0,654,898,1896,1944
16.0,0,0,0,0,798,1110,2340,2312
16.5,1,0,0,0,904,1388,2560,2512
17.0,1,0,0,0,1498,1694,2816,2404
17.5,1,0,0,0,1640,2596,2536,2568
18.0,1,0,0,0,1508,3160,2344,2292
18.5,1,0,0,0,1240,3100,1696,2416
19.0,1,0,0,0,968,2682,1252,2204
19.5,1,0,0,0,752,2378,908,2148
20.0,1,0,0,0,610,2062,772,2088
20.5,0,0,0,0,548,1848,552,2348
21.0,0,0,0,0,474,1740,704,2736
21.5,0,0,0,0,348,1496,536,2712
22.0,0,0,0,0,318,1392,536,2484
22.5,0,0,0,0,194,1264,416,2572
23.0,0,0,0,0,204,1004,352,1752
23.5,0,0,0,0,128,998,208,1772
24.0,0,0,0,-,46,656,28,372
24.5,0,-,-,-,2,126,4,8
