Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,464,94,494,80
5.5,0,0,0,0,456,376,356,300
6.0,0,0,0,0,968,564,436,292
6.5,0,0,0,0,1686,1118,636,598
7.0,0,1,0,0,2898,1840,916,694
7.5,0,2,0,0,3980,3146,1096,1074
8.0,0,2,0,0,4266,3182,1528,1710
8.5,0,1,0,0,4304,3872,1468,1864
9.0,0,0,0,0,4484,4662,1824,1880
9.5,0,0,0,0,2922,2678,1788,2412
10.0,0,0,0,0,2152,1580,2220,1824
10.5,0,0,0,0,1534,1628,2000,2576
11.0,0,0,0,0,1572,1636,2064,2530
11.5,0,0,0,0,1596,1744,2190,2638
12.0,0,0,0,0,2004,1720,2400,2460
12.5,0,0,0,0,1778,2042,2164,2838
13.0,0,0,0,0,1716,1798,2250,2618
13.5,0,0,0,0,1562,1724,2216,2688
14.0,0,0,0,0,1600,1554,2370,2432
14.5,0,0,0,0,1528,1776,2340,2512
15.0,0,0,0,0,1742,1808,2482,2478
15.5,0,0,0,0,1786,2024,2652,2668
16.0,0,0,0,0,2154,2060,3184,2676
16.5,1,0,0,0,2240,2630,3272,2914
17.0,1,0,0,0,3132,3170,3300,2750
17.5,1,0,0,0,3518,3998,2980,2892
18.0,1,0,0,0,3738,4410,2920,2502
18.5,1,0,0,0,3124,4912,2494,2508
19.0,1,0,0,0,2906,4756,2308,2104
19.5,1,0,0,0,2324,3588,1938,1936
20.0,1,0,0,0,2272,2822,1872,1786
20.5,0,0,0,0,1922,2530,1698,2066
21.0,0,0,0,0,2022,2134,1736,2124
21.5,0,0,0,0,1706,1914,1496,2108
22.0,0,0,0,0,1690,1650,1540,1732
22.5,0,0,0,0,1464,1516,1294,1572
23.0,0,0,0,0,1476,1138,1420,1086
23.5,0,0,0,0,1080,886,1096,940
24.0,0,0,0,-,332,746,204,272
24.5,0,-,-,-,20,174,0,0
