Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5,0,-,0,-,250,24,272,76
5.5,0,-,0,-,330,165,370,328
6,0,-,0,-,770,388,536,308
6.5,0,-,0,-,1348,626,764,518
7,1,-,0,-,2077,878,1056,626
7.5,2,-,0,-,3084,1360,1504,928
8,2,-,0,-,3286,1774,1764,1048
8.5,1,-,0,-,3262,1851,1848,1204
9,0,-,0,-,2018,1219,1996,1392
9.5,0,-,0,-,1192,965,1996,1930
10,1,-,0,-,1063,1029,2184,1938
10.5,0,-,0,-,729,981,2122,3026
11,0,-,0,-,807,968,2160,2640
11.5,0,-,0,-,839,920,2332,2696
12,0,-,0,-,1043,930,2404,2534
12.5,0,-,0,-,911,1028,2232,2696
13,0,-,0,-,936,970,2504,2688
13.5,0,-,0,-,869,942,2532,2656
14,0,-,0,-,934,821,2560,2484
14.5,0,-,0,-,941,881,2696,2620
15,0,-,0,-,1034,924,2968,2434
15.5,0,-,0,-,1087,1007,3006,2544
16,0,-,0,-,1263,1060,3172,2578
16.5,0,-,0,-,1226,1405,3316,2656
17,0,-,0,-,1537,1611,3444,2856
17.5,0,-,0,-,1766,2139,3162,2480
18,0,-,0,-,1672,2480,2866,2538
18.5,0,-,0,-,1435,2646,2600,2252
19,0,-,0,-,1255,2341,2132,1870
19.5,0,-,0,-,1053,1901,1758,1880
20,0,-,0,-,990,1517,1854,1652
20.5,0,-,0,-,992,1369,1876,1732
21,0,-,0,-,1043,1214,2058,1680
21.5,0,-,0,-,854,1126,1392,1816
22,0,-,0,-,807,906,1152,1512
22.5,0,-,0,-,548,847,914,1582
23,0,-,0,-,431,816,752,1184
23.5,0,-,0,-,272,553,396,1052
24,0,-,-,-,72,407,88,404
24.5,-,-,-,-,0,177,0,0
