Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,176,154,472,392
5.5,0,0,0,0,232,248,432,464
6.0,0,0,0,0,384,404,576,392
6.5,0,1,0,0,1070,794,904,704
7.0,0,1,0,0,1752,1338,1300,968
7.5,0,1,0,0,2694,1830,1528,1208
8.0,0,2,0,0,4524,3304,2376,1628
8.5,0,2,0,0,4414,4320,2580,2308
9.0,0,1,0,1,4126,3956,3056,3120
9.5,0,1,0,1,3182,4284,3436,3824
10.0,0,1,0,0,2276,2402,3016,3288
10.5,0,1,0,0,1960,2258,3440,3976
11.0,0,1,0,0,1612,1886,3572,3920
11.5,0,1,0,0,1780,2164,3752,4524
12.0,0,1,0,0,2066,2084,3752,4188
12.5,0,1,0,0,2192,2460,4180,5256
13.0,0,0,0,1,2152,2116,3952,4352
13.5,0,0,0,0,1812,2084,3984,4440
14.0,0,0,0,0,1960,1862,3916,4120
14.5,0,0,0,0,1930,2098,4196,4588
15.0,0,0,0,0,2016,2088,4304,4416
15.5,0,0,0,0,1890,2306,3828,4912
16.0,0,0,0,0,2102,2338,4232,4744
16.5,1,0,0,0,2338,2926,4448,5252
17.0,1,0,0,0,2780,3500,4648,5184
17.5,1,0,0,0,3104,4602,4488,5416
18.0,1,1,0,0,3476,5072,4000,4564
18.5,1,0,0,0,3484,5266,3828,4608
19.0,1,0,0,0,3402,4212,3488,3540
19.5,1,0,0,0,2900,3490,2996,3360
20.0,1,0,0,0,2546,2706,3120,2904
20.5,1,0,0,0,2258,2130,2912,2648
21.0,1,0,0,0,2212,1788,3040,2464
21.5,1,0,0,0,2068,1718,2864,2360
22.0,1,0,0,0,2014,1720,2680,2080
22.5,0,0,0,0,1912,1344,2568,1784
23.0,1,0,0,0,1864,1098,2624,1680
23.5,0,0,0,0,1438,770,2000,1288
24.0,0,0,0,0,416,540,684,864
24.5,0,0,0,0,20,126,48,240
