Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,112,72,192,128
5.5,0,0,0,0,150,306,184,344
6.0,0,0,0,0,234,350,272,496
6.5,0,0,0,0,426,964,368,936
7.0,0,1,0,0,784,1558,616,1216
7.5,0,1,0,0,1104,2506,640,1864
8.0,0,2,0,0,1540,3584,976,2488
8.5,0,1,0,0,1406,4188,1088,2856
9.0,0,1,0,1,1400,2660,1428,2668
9.5,0,1,0,0,1118,2680,1472,3376
10.0,0,1,0,0,1026,2064,1576,2296
10.5,0,1,0,0,1030,1960,1600,2452
11.0,0,1,0,0,1050,1020,2096,2056
11.5,0,1,0,0,1088,1134,2108,2280
12.0,0,1,0,0,1376,1068,2264,2100
12.5,0,1,1,1,1348,1464,2536,2484
13.0,0,0,0,1,1116,1292,2516,2132
13.5,0,0,0,0,916,1132,2224,2044
14.0,0,0,0,0,1032,894,2072,1576
14.5,0,1,0,0,1238,1068,2184,2016
15.0,0,1,0,0,1756,1026,3248,1856
15.5,0,0,0,0,1374,1028,2556,1780
16.0,1,0,0,0,1964,874,2656,1616
16.5,1,0,1,0,2180,1010,2720,1840
17.0,1,0,0,0,3416,960,3360,1568
17.5,1,1,0,0,2836,1282,3096,1940
18.0,1,1,0,0,2884,1366,2384,1460
18.5,1,0,0,0,2250,1464,1832,1628
19.0,1,0,0,0,2114,1164,1796,1272
19.5,1,0,0,0,1464,926,1460,1052
20.0,1,0,0,0,1368,802,1488,1032
20.5,1,0,0,0,1076,754,1332,1020
21.0,1,0,0,0,1016,630,1296,968
21.5,1,0,0,0,810,574,1056,916
22.0,1,0,0,0,824,524,1012,852
22.5,1,0,0,0,668,470,972,736
23.0,1,0,0,0,638,408,900,576
23.5,1,0,0,0,400,352,612,592
24.0,0,-,0,-,94,252,128,448
24.5,0,-,0,-,16,134,16,152
