Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,257,24,1004,72
5.5,0,0,0,0,140,226,502,304
6.0,0,0,0,0,177,329,482,412
6.5,0,0,0,0,213,609,392,548
7.0,0,1,0,0,358,1046,496,920
7.5,0,1,0,0,484,1690,502,1238
8.0,0,1,0,0,731,2625,632,1444
8.5,0,1,0,0,810,3888,616,2420
9.0,0,1,0,0,788,3242,784,2596
9.5,0,0,0,0,697,4033,926,3600
10.0,0,0,0,0,685,2169,1120,3136
10.5,0,0,0,0,611,2021,1106,3560
11.0,0,0,0,0,652,1484,1220,3428
11.5,0,0,0,0,733,1455,1316,3260
12.0,0,1,0,0,958,1299,1844,2658
12.5,0,1,0,0,946,1570,1912,3228
13.0,0,0,0,0,963,1257,1880,2724
13.5,0,1,0,0,952,1285,2074,2886
14.0,0,1,0,0,1133,1147,2800,2528
14.5,0,1,0,0,1132,1312,2748,2704
15.0,0,1,0,0,1334,1116,2900,2340
15.5,0,1,0,0,1233,1158,2842,2328
16.0,0,0,0,1,1642,1052,3328,2148
16.5,1,0,1,1,1589,1209,3152,2756
17.0,1,1,0,0,2264,1250,3438,2564
17.5,1,1,0,1,2232,1641,3074,2690
18.0,1,1,0,0,3493,1647,3850,2134
18.5,1,1,0,1,2887,1664,2964,1892
19.0,1,0,0,1,2800,1339,2612,1492
19.5,1,1,0,0,2262,1147,2400,1436
20.0,1,1,0,0,2222,831,3136,1212
20.5,1,1,0,1,1766,759,2612,1158
21.0,1,0,0,0,1818,600,2726,934
21.5,1,0,0,0,1592,576,2328,940
22.0,1,0,0,0,1823,471,2394,852
22.5,1,0,0,0,1439,409,1902,756
23.0,1,0,0,0,1493,305,2038,652
23.5,0,0,0,0,1099,306,1520,596
24.0,0,-,0,-,191,124,268,308
24.5,-,-,-,-,3,46,10,104
