Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,84,12,304,20
5.5,0,0,0,0,46,363,176,464
6.0,0,0,0,0,50,776,144,1376
6.5,0,0,0,0,72,1610,168,2448
7.0,0,1,0,0,120,2725,188,3688
7.5,0,1,0,0,173,2818,264,2992
8.0,0,1,0,0,235,4441,400,1840
8.5,1,1,0,0,235,6518,488,2124
9.0,0,1,0,0,326,5088,616,2700
9.5,0,0,0,0,330,3778,824,2664
10.0,0,0,0,0,350,1447,748,1560
10.5,0,0,0,0,434,1150,940,1700
11.0,0,0,0,0,563,735,1340,1476
11.5,0,0,0,0,578,797,1128,1672
12.0,1,1,1,0,843,815,1544,1536
12.5,1,1,1,0,681,1226,2088,1784
13.0,1,1,0,1,626,886,1544,1292
13.5,0,1,0,0,562,869,1360,1384
14.0,0,1,0,0,700,633,1424,1288
14.5,0,1,0,0,730,667,1592,1208
15.0,0,1,0,0,970,525,1864,1192
15.5,0,1,0,0,958,593,1884,1128
16.0,0,1,0,1,1543,482,2724,1112
16.5,1,1,1,1,1874,508,2904,1240
17.0,1,1,0,1,3196,431,3784,1128
17.5,1,1,1,1,3852,452,2608,1352
18.0,1,1,0,1,4374,443,2352,1016
18.5,1,1,0,1,3409,469,1544,1172
19.0,1,1,0,1,3111,423,2184,1096
19.5,1,1,0,1,2232,333,1568,1056
20.0,1,1,0,0,1931,255,1672,856
20.5,1,1,0,1,1397,216,1104,676
21.0,1,1,0,0,1208,187,1320,740
21.5,0,1,0,0,1003,170,1160,600
22.0,0,1,0,0,994,118,1356,456
22.5,0,0,0,0,751,93,1032,408
23.0,0,0,0,0,620,74,768,208
23.5,0,0,0,0,368,49,376,180
24.0,0,-,0,-,38,38,56,168
24.5,-,-,-,-,1,2,0,12
