Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,58,12,140,12
5.5,0,0,0,0,26,254,64,184
6.0,0,0,0,0,44,482,72,328
6.5,0,0,0,0,56,1150,96,624
7.0,1,0,0,0,108,2370,116,1504
7.5,1,1,0,0,116,3316,108,1136
8.0,1,1,1,0,178,5030,160,928
8.5,1,1,0,0,218,7346,176,904
9.0,1,0,0,0,352,4804,368,816
9.5,1,0,0,0,384,3618,372,1112
10.0,1,0,0,0,438,1386,336,872
10.5,1,0,0,0,488,1180,368,844
11.0,1,0,0,0,548,870,384,928
11.5,1,0,1,0,620,854,488,920
12.0,1,1,1,0,812,946,624,744
12.5,1,1,1,0,668,1392,544,936
13.0,1,1,0,1,672,1034,600,792
13.5,1,1,1,0,598,964,656,824
14.0,1,1,0,0,780,692,696,728
14.5,1,1,0,0,814,824,752,696
15.0,1,1,0,0,988,676,928,904
15.5,1,1,0,0,952,732,984,652
16.0,0,1,0,1,1358,530,1124,516
16.5,1,1,1,1,1744,544,1248,740
17.0,1,1,0,1,2800,444,1432,512
17.5,1,1,0,1,3642,534,1136,568
18.0,1,1,0,1,4274,528,1216,400
18.5,1,1,0,1,3304,552,896,400
19.0,1,1,0,1,2744,412,632,340
19.5,1,1,0,1,2212,242,792,292
20.0,1,1,0,1,1912,194,688,288
20.5,1,1,0,1,1514,154,560,204
21.0,0,1,0,1,1390,134,704,224
21.5,0,1,0,0,1114,108,552,196
22.0,0,1,0,0,1020,106,496,168
22.5,0,0,0,0,778,96,368,124
23.0,0,0,0,0,654,58,384,104
23.5,0,0,0,0,446,46,200,48
24.0,0,-,0,-,62,34,48,80
24.5,-,-,-,-,0,4,8,16
