Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,50,55,152,176
5.5,0,0,0,0,113,207,180,448
6.0,0,0,0,0,190,286,408,388
6.5,0,0,0,0,428,632,520,688
7.0,1,0,0,0,696,1022,780,792
7.5,1,1,0,0,1080,1740,1056,1344
8.0,1,1,1,0,1605,2589,1232,1684
8.5,1,1,0,0,1837,3369,1264,2528
9.0,1,0,1,0,1623,2707,1816,3104
9.5,1,0,1,0,1029,2635,1768,4072
10.0,1,0,1,0,752,1504,2032,3816
10.5,1,0,1,0,663,1431,2100,4492
11.0,1,0,1,0,672,1030,2224,3832
11.5,1,0,1,0,670,941,2060,3292
12.0,1,0,1,0,887,801,2404,2568
12.5,1,1,1,0,806,977,2088,2952
13.0,1,1,1,0,792,778,2236,2456
13.5,1,1,0,0,700,826,2072,2648
14.0,1,1,0,0,773,706,2160,2340
14.5,1,1,0,0,748,834,2080,2696
15.0,1,1,0,0,1169,898,3504,2984
15.5,1,1,0,0,1058,966,3464,3080
16.0,0,1,0,1,1055,780,2936,2600
16.5,1,1,0,1,1105,970,2708,2128
17.0,1,1,0,1,1638,1008,2888,2024
17.5,1,1,0,1,2200,1338,2512,2128
18.0,1,1,0,1,2274,1328,2596,1660
18.5,1,1,0,1,1815,1217,2184,1520
19.0,1,1,0,1,1615,982,2340,1160
19.5,1,1,0,1,1304,753,2384,1144
20.0,0,1,0,1,1265,631,2880,1128
20.5,0,1,0,1,1310,568,3044,1184
21.0,0,1,0,1,962,505,1696,1432
21.5,0,1,0,0,754,526,1240,1336
22.0,0,1,0,0,763,461,1392,1272
22.5,0,0,0,0,546,372,1016,1024
23.0,0,0,0,0,533,309,960,844
23.5,0,0,0,0,379,174,688,624
24.0,0,0,0,0,81,87,152,296
24.5,-,-,-,-,1,1,8,0
