Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,116,186,176,232
5.5,0,0,0,0,130,698,244,752
6.0,0,0,0,0,218,880,280,872
6.5,0,0,0,0,362,1834,384,1308
7.0,1,0,0,0,716,3168,616,1860
7.5,1,1,0,0,1042,5052,864,2248
8.0,1,1,0,0,1596,6786,1096,2960
8.5,1,0,1,0,1572,6666,1544,3608
9.0,1,0,1,0,1578,4504,1888,3584
9.5,1,0,1,0,1476,4346,2452,3788
10.0,1,0,1,0,1656,2648,2712,3480
10.5,1,0,1,0,1638,2296,3024,4336
11.0,1,0,1,0,1686,1704,2944,3316
11.5,1,0,1,0,1772,1822,2996,3584
12.0,1,0,1,0,2060,1580,3192,3112
12.5,1,1,1,0,1870,1788,3240,2968
13.0,1,1,1,1,1688,1422,3184,2620
13.5,1,1,0,0,1588,1394,2820,2232
14.0,1,1,0,0,1746,1080,2704,1800
14.5,1,1,0,0,1600,1116,2712,1912
15.0,1,1,0,0,1710,1070,2720,1688
15.5,0,1,0,0,1578,1098,2408,1816
16.0,0,1,0,1,2136,966,2792,1644
16.5,0,1,0,1,2314,1098,2488,1784
17.0,1,1,0,1,3424,1018,2780,1584
17.5,1,1,0,1,4388,1292,2328,1684
18.0,1,1,0,1,4542,1318,2400,1352
18.5,1,1,0,1,3580,1220,1992,1272
19.0,1,1,0,1,2982,918,1784,1160
19.5,0,1,0,1,2248,910,1232,1232
20.0,0,1,0,1,1924,748,1212,1128
20.5,0,1,0,1,1574,712,1416,1112
21.0,0,1,0,1,1564,732,1564,1320
21.5,0,1,0,0,1250,674,1380,1440
22.0,0,1,0,0,1172,608,1092,1160
22.5,0,0,0,0,894,598,916,1120
23.0,0,0,0,0,770,402,680,800
23.5,0,0,0,0,564,334,488,544
24.0,0,0,0,0,122,196,144,344
24.5,-,-,-,-,2,2,8,8
