Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,34,71,152,200
5.5,0,0,0,0,155,394,272,676
6.0,0,0,0,0,178,581,288,1064
6.5,0,0,0,0,520,1110,792,1344
7.0,1,0,0,0,969,1755,1072,2352
7.5,1,0,0,0,1467,3081,1200,3256
8.0,1,1,1,0,2262,4573,1924,3232
8.5,1,0,1,0,1964,5029,2040,3184
9.0,1,0,1,0,1513,2573,2664,2680
9.5,1,0,1,0,1199,2349,2652,2656
10.0,1,0,1,0,1041,1143,3200,2456
10.5,1,0,1,0,853,914,3000,2584
11.0,1,0,1,0,813,693,3420,2188
11.5,1,0,1,0,798,719,3052,2112
12.0,1,0,1,0,997,782,2920,2120
12.5,1,1,1,0,836,911,2548,2344
13.0,1,1,1,1,803,762,2512,2300
13.5,1,1,0,0,684,758,2312,2408
14.0,1,1,0,0,785,637,2280,2520
14.5,1,1,0,0,793,743,2448,2344
15.0,0,1,0,0,904,705,2448,2296
15.5,0,1,0,0,870,776,2616,2536
16.0,0,1,1,1,1192,776,3112,2224
16.5,0,1,0,1,1285,901,3264,2280
17.0,1,1,0,1,2214,940,3344,2052
17.5,1,1,0,1,3208,1270,3208,2256
18.0,1,1,0,1,3244,1338,3112,2024
18.5,1,2,0,1,2385,1254,2512,1888
19.0,1,1,0,1,1967,1062,2280,1896
19.5,0,1,0,1,1517,925,1576,1856
20.0,0,1,0,1,1265,764,1760,2000
20.5,0,1,0,1,1098,790,1824,2112
21.0,0,1,0,1,1337,685,2772,2344
21.5,0,1,0,0,1213,666,2944,2352
22.0,0,1,0,0,1274,595,2612,2024
22.5,0,0,0,0,740,489,2276,1632
23.0,0,0,0,0,451,422,1128,1280
23.5,0,0,0,0,296,324,672,840
24.0,0,0,0,0,58,186,80,776
24.5,-,-,-,-,0,0,0,0
