Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,124,164,296,180
5.5,0,0,0,0,166,410,248,320
6.0,0,0,0,0,324,624,320,344
6.5,1,0,1,0,530,1284,504,556
7.0,1,0,0,0,1110,2156,712,896
7.5,2,0,0,0,1736,3962,1060,1152
8.0,2,0,1,0,2332,5818,1360,1660
8.5,2,0,1,0,2254,7574,1576,2232
9.0,1,0,1,0,1716,4260,1800,2240
9.5,1,0,1,0,1528,3510,2104,3028
10.0,1,0,1,0,1322,1688,2304,2352
10.5,1,0,1,0,1192,1516,2416,2152
11.0,1,0,1,0,1162,1142,2272,2076
11.5,1,0,1,0,1162,1236,2104,2236
12.0,1,0,1,0,1640,1254,2532,2104
12.5,1,0,0,0,1486,1566,2400,2036
13.0,1,1,1,1,1400,1260,2440,2096
13.5,1,1,0,1,1262,1188,2288,2008
14.0,1,1,0,0,1332,1048,2312,1900
14.5,1,1,0,0,1426,1298,3252,2224
15.0,0,1,0,0,1516,1176,2768,1904
15.5,0,1,0,0,1458,1204,2596,2056
16.0,0,1,1,1,1876,1252,2712,2192
16.5,0,1,0,1,2058,1482,2808,2228
17.0,0,1,0,1,3440,1562,2984,2056
17.5,1,1,0,1,4692,2210,2608,2280
18.0,1,1,0,1,5214,2242,3016,1872
18.5,1,2,0,1,4006,2024,2192,1744
19.0,0,1,0,1,3334,1630,1896,1540
19.5,0,1,0,1,2824,1442,1868,1384
20.0,0,1,0,1,2128,1166,1356,1392
20.5,0,1,0,1,1716,1076,1152,1548
21.0,0,1,0,1,1738,1076,1296,1876
21.5,0,1,0,0,1414,1044,1128,1952
22.0,0,1,0,0,1408,1026,1080,1608
22.5,0,0,0,0,1136,744,1000,1368
23.0,0,0,0,0,1070,556,936,904
23.5,0,0,0,0,798,482,692,696
24.0,0,0,0,0,242,226,304,392
24.5,-,-,-,-,2,2,4,4
