Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,34,82,96,40
5.5,0,0,0,0,50,268,80,112
6.0,0,0,0,0,78,350,104,84
6.5,1,0,0,0,164,726,140,212
7.0,1,0,0,0,324,1434,252,312
7.5,2,0,1,0,512,2598,304,464
8.0,2,0,1,0,762,4776,432,664
8.5,2,0,1,0,704,7072,612,712
9.0,1,0,1,0,752,2730,664,552
9.5,1,0,1,0,578,2272,728,620
10.0,1,0,1,0,676,820,740,432
10.5,1,0,1,0,634,762,820,552
11.0,1,0,1,0,630,548,728,520
11.5,1,0,1,0,628,564,688,576
12.0,1,0,1,0,818,558,800,528
12.5,1,0,0,0,648,840,752,624
13.0,1,1,1,1,704,604,672,576
13.5,1,1,0,1,638,650,692,612
14.0,0,1,0,0,752,540,708,584
14.5,0,1,0,0,694,650,632,616
15.0,0,1,0,0,808,564,628,632
15.5,0,1,0,0,790,674,676,644
16.0,0,1,1,1,1154,522,776,592
16.5,0,1,0,1,1306,636,752,584
17.0,0,1,0,1,2466,520,944,648
17.5,0,1,0,1,3700,568,872,612
18.0,0,1,0,1,3690,620,864,560
18.5,0,2,0,1,2436,532,688,552
19.0,0,1,0,1,2032,460,528,492
19.5,0,1,0,1,1420,392,388,392
20.0,0,1,0,1,1110,366,332,556
20.5,0,1,0,1,820,310,288,500
21.0,0,1,0,1,692,322,256,572
21.5,0,1,0,0,590,300,244,640
22.0,0,1,0,0,508,296,288,624
22.5,0,0,0,0,390,230,208,536
23.0,0,0,0,0,414,174,272,288
23.5,0,0,0,0,230,162,164,288
24.0,0,0,0,0,74,94,56,156
24.5,-,-,-,-,0,0,0,0
