Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,211,98,380,122
5.5,0,0,0,0,223,478,330,504
6.0,1,0,0,0,373,538,354,380
6.5,1,0,0,0,617,1049,520,648
7.0,1,0,0,0,1009,1467,590,820
7.5,2,0,1,0,1541,2613,672,1374
8.0,2,0,1,0,2124,3461,906,1440
8.5,2,0,1,0,1722,3920,878,1866
9.0,2,0,1,0,1192,2474,996,2302
9.5,1,0,1,0,932,2038,1002,2438
10.0,1,0,1,0,748,1260,1208,2312
10.5,1,0,1,0,689,1254,1316,3158
11.0,1,0,1,0,679,1055,1252,2402
11.5,1,0,1,0,751,1138,1448,2728
12.0,1,0,1,0,939,1188,1664,2588
12.5,1,0,0,0,974,1344,1738,2796
13.0,1,1,1,1,904,1104,1880,2710
13.5,1,1,0,1,863,1044,2026,2620
14.0,0,1,0,0,896,1010,2032,2480
14.5,0,1,0,1,993,1063,2272,2460
15.0,0,1,0,1,1116,1047,2428,2550
15.5,0,1,0,1,1106,1158,2600,2444
16.0,0,1,1,1,1344,1178,2828,2488
16.5,0,1,0,1,1492,1360,3224,2622
17.0,0,1,0,1,1937,1490,3382,2440
17.5,0,2,0,1,2487,2115,3728,2152
18.0,0,1,0,1,2922,2206,3276,2116
18.5,0,2,0,1,2537,1958,3206,1696
19.0,0,2,0,1,2276,1586,2576,1404
19.5,0,1,0,1,1976,1202,2346,1226
20.0,0,1,0,1,1803,906,2168,1254
20.5,0,1,0,1,1651,795,1974,1364
21.0,0,2,0,1,1524,630,2244,2064
21.5,0,1,0,1,1360,594,2130,1910
22.0,0,1,0,0,1256,492,2132,1508
22.5,0,1,0,0,1026,409,1608,1210
23.0,0,0,0,0,936,376,1412,988
23.5,0,0,0,0,742,300,1274,756
24.0,0,0,0,0,397,213,628,484
24.5,-,-,-,-,1,1,2,0
