Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,204,156,248,80
5.5,1,0,0,0,236,1012,248,440
6.0,1,0,0,0,332,1084,240,508
6.5,1,0,1,0,544,2236,248,552
7.0,2,0,0,0,960,2908,356,872
7.5,2,0,1,0,1304,5220,480,1040
8.0,3,0,1,0,1920,6736,648,1188
8.5,2,0,1,0,1648,7760,752,1760
9.0,2,0,1,0,1408,5396,840,1892
9.5,1,0,1,0,1348,4216,1060,2060
10.0,1,0,1,0,1268,2724,1072,1784
10.5,1,0,1,0,1144,2124,1144,2144
11.0,1,0,1,0,1276,1680,1192,1832
11.5,1,0,1,0,1280,1848,1208,2024
12.0,1,0,1,0,1636,1840,1244,1772
12.5,1,0,0,0,1740,1944,1352,2016
13.0,1,1,1,1,1664,1608,1508,1744
13.5,0,1,1,1,1504,1448,1496,1624
14.0,0,1,0,0,1636,1376,1544,1616
14.5,0,1,0,1,1680,1452,1464,1508
15.0,0,1,0,1,1892,1380,1808,1372
15.5,0,1,0,1,1928,1484,1880,1652
16.0,0,1,1,1,2392,1508,2088,1584
16.5,0,1,0,1,2704,1748,2344,1624
17.0,0,1,0,1,3800,1804,2856,1288
17.5,0,1,0,1,5124,2512,2828,1592
18.0,0,2,0,1,5656,2572,2932,1380
18.5,0,2,0,1,4740,2444,2448,1320
19.0,0,2,0,1,4000,1864,1880,980
19.5,0,1,0,1,3228,1508,1680,864
20.0,0,2,0,1,2780,1200,1456,936
20.5,0,2,0,1,2452,896,1480,1368
21.0,0,2,0,1,2172,960,1328,1544
21.5,0,1,0,1,1912,764,1340,1536
22.0,0,1,0,0,1828,756,1196,1104
22.5,0,1,0,0,1592,556,1072,784
23.0,0,0,0,0,1424,400,1052,584
23.5,0,1,0,0,1276,304,1040,404
24.0,0,0,0,0,676,196,392,200
24.5,-,-,-,-,4,8,0,4
