Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,1,0,0,0,460,108,252,116
5.5,1,0,0,0,632,320,324,248
6.0,1,0,0,0,1048,444,576,280
6.5,1,0,1,0,1992,892,772,380
7.0,2,0,1,0,3096,1588,1000,448
7.5,3,0,1,0,4872,2660,1424,672
8.0,3,0,1,0,6152,3520,1648,704
8.5,2,0,1,0,4964,3920,1960,848
9.0,2,0,1,0,3756,1496,2144,744
9.5,2,0,1,0,2576,1472,2184,912
10.0,1,0,1,0,2208,936,2296,744
10.5,1,0,1,0,1712,992,2196,904
11.0,1,0,1,0,1608,832,2052,992
11.5,1,0,1,0,1604,936,1984,1132
12.0,1,0,1,0,1960,996,2088,1184
12.5,1,0,1,0,1608,1332,1896,1296
13.0,1,1,1,1,1412,1204,1896,1240
13.5,1,1,1,1,1192,1088,1704,1408
14.0,1,1,1,0,1264,1028,1684,1368
14.5,1,1,1,1,1304,1124,1640,1328
15.0,0,1,1,1,1240,1144,1708,1464
15.5,0,1,1,1,1328,1368,1608,1456
16.0,0,1,1,1,1768,1424,1920,1404
16.5,0,1,0,1,1900,1668,1828,1736
17.0,0,1,0,1,2840,1724,2000,1528
17.5,0,1,0,1,3316,3044,1848,1840
18.0,0,2,0,1,3100,2856,1768,1656
18.5,0,2,0,1,2280,3728,1256,1712
19.0,0,3,0,1,1928,2720,1216,1576
19.5,0,1,0,1,1328,3012,732,1464
20.0,0,2,0,1,1148,2544,700,1588
20.5,0,2,0,1,872,2388,488,1816
21.0,0,1,0,1,844,2096,520,1864
21.5,0,1,0,1,648,2344,496,2048
22.0,0,1,0,1,624,1984,464,1776
22.5,0,1,0,1,456,1820,388,1520
23.0,0,1,0,0,440,1444,380,1216
23.5,0,1,0,0,308,1340,268,1000
24.0,-,1,-,0,88,1084,96,880
24.5,-,-,-,-,4,96,0,16
